,region,type of household,contents,year,value
1296,Re (2002-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,41
1297,Re (2002-2019),Other housesholds,Households,2019,0
1298,Færder (2018-2019),Living alone,Households,2019,4194
1299,Færder (2018-2019),Couple without resident children,Households,2019,3294
1300,Færder (2018-2019),Couple with small children (youngest child 0-5 years),Households,2019,1001
1301,Færder (2018-2019),Couple with older children (youngest child 6-17 years),Households,2019,1350
1302,Færder (2018-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,107
1303,Færder (2018-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,558
1304,Færder (2018-2019),One family households with adult children (youngest child 18 years and over,Households,2019,967
1305,Færder (2018-2019),Two or more-family households without resident children 0-17 years,Households,2019,311
1306,Færder (2018-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,56
1307,Færder (2018-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,73
1308,Færder (2018-2019),Other housesholds,Households,2019,0
1309,Porsgrunn (-2019),Living alone,Households,2019,6801
1310,Porsgrunn (-2019),Couple without resident children,Households,2019,4350
1311,Porsgrunn (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1316
1312,Porsgrunn (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1755
1313,Porsgrunn (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,221
1314,Porsgrunn (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,676
1315,Porsgrunn (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1285
1316,Porsgrunn (-2019),Two or more-family households without resident children 0-17 years,Households,2019,480
1317,Porsgrunn (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,92
1318,Porsgrunn (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,107
1319,Porsgrunn (-2019),Other housesholds,Households,2019,0
1320,Skien (-2019),Living alone,Households,2019,9796
1321,Skien (-2019),Couple without resident children,Households,2019,6456
1322,Skien (-2019),Couple with small children (youngest child 0-5 years),Households,2019,2088
1323,Skien (-2019),Couple with older children (youngest child 6-17 years),Households,2019,2563
1324,Skien (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,376
1325,Skien (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,1027
1326,Skien (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1951
1327,Skien (-2019),Two or more-family households without resident children 0-17 years,Households,2019,661
1328,Skien (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,142
1329,Skien (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,142
1330,Skien (-2019),Other housesholds,Households,2019,0
1331,Notodden (-2019),Living alone,Households,2019,2472
1332,Notodden (-2019),Couple without resident children,Households,2019,1502
1333,Notodden (-2019),Couple with small children (youngest child 0-5 years),Households,2019,480
1334,Notodden (-2019),Couple with older children (youngest child 6-17 years),Households,2019,583
1335,Notodden (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,82
1336,Notodden (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,218
1337,Notodden (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,464
1338,Notodden (-2019),Two or more-family households without resident children 0-17 years,Households,2019,185
1339,Notodden (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,33
1340,Notodden (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,47
1341,Notodden (-2019),Other housesholds,Households,2019,0
1342,Siljan (-2019),Living alone,Households,2019,282
1343,Siljan (-2019),Couple without resident children,Households,2019,323
1344,Siljan (-2019),Couple with small children (youngest child 0-5 years),Households,2019,92
1345,Siljan (-2019),Couple with older children (youngest child 6-17 years),Households,2019,132
1346,Siljan (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
1347,Siljan (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,39
1348,Siljan (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,96
1349,Siljan (-2019),Two or more-family households without resident children 0-17 years,Households,2019,20
1350,Siljan (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,1
1351,Siljan (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,5
1352,Siljan (-2019),Other housesholds,Households,2019,0
1353,Bamble (-2019),Living alone,Households,2019,2038
1354,Bamble (-2019),Couple without resident children,Households,2019,1823
1355,Bamble (-2019),Couple with small children (youngest child 0-5 years),Households,2019,504
1356,Bamble (-2019),Couple with older children (youngest child 6-17 years),Households,2019,690
1357,Bamble (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,64
1358,Bamble (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,213
1359,Bamble (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,555
1360,Bamble (-2019),Two or more-family households without resident children 0-17 years,Households,2019,189
1361,Bamble (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,38
1362,Bamble (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,45
1363,Bamble (-2019),Other housesholds,Households,2019,0
1364,Kragerø (-2019),Living alone,Households,2019,2063
1365,Kragerø (-2019),Couple without resident children,Households,2019,1381
1366,Kragerø (-2019),Couple with small children (youngest child 0-5 years),Households,2019,322
1367,Kragerø (-2019),Couple with older children (youngest child 6-17 years),Households,2019,456
1368,Kragerø (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,48
1369,Kragerø (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,164
1370,Kragerø (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,386
1371,Kragerø (-2019),Two or more-family households without resident children 0-17 years,Households,2019,131
1372,Kragerø (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,19
1373,Kragerø (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,44
1374,Kragerø (-2019),Other housesholds,Households,2019,0
1375,Drangedal (-2019),Living alone,Households,2019,732
1376,Drangedal (-2019),Couple without resident children,Households,2019,477
1377,Drangedal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,136
1378,Drangedal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,216
1379,Drangedal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,16
1380,Drangedal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,68
1381,Drangedal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,154
1382,Drangedal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,38
1383,Drangedal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
1384,Drangedal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
1385,Drangedal (-2019),Other housesholds,Households,2019,0
1386,Nome (-2019),Living alone,Households,2019,1166
1387,Nome (-2019),Couple without resident children,Households,2019,791
1388,Nome (-2019),Couple with small children (youngest child 0-5 years),Households,2019,225
1389,Nome (-2019),Couple with older children (youngest child 6-17 years),Households,2019,325
1390,Nome (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,46
1391,Nome (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,104
1392,Nome (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,261
1393,Nome (-2019),Two or more-family households without resident children 0-17 years,Households,2019,71
1394,Nome (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
1395,Nome (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,18
1396,Nome (-2019),Other housesholds,Households,2019,0
1397,Bø (Telemark) (-2019),Living alone,Households,2019,1576
1398,Bø (Telemark) (-2019),Couple without resident children,Households,2019,853
1399,Bø (Telemark) (-2019),Couple with small children (youngest child 0-5 years),Households,2019,278
1400,Bø (Telemark) (-2019),Couple with older children (youngest child 6-17 years),Households,2019,294
1401,Bø (Telemark) (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,32
1402,Bø (Telemark) (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,104
1403,Bø (Telemark) (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,178
1404,Bø (Telemark) (-2019),Two or more-family households without resident children 0-17 years,Households,2019,167
1405,Bø (Telemark) (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,25
1406,Bø (Telemark) (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,24
1407,Bø (Telemark) (-2019),Other housesholds,Households,2019,0
1408,Sauherad (-2019),Living alone,Households,2019,680
1409,Sauherad (-2019),Couple without resident children,Households,2019,523
1410,Sauherad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,156
1411,Sauherad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,185
1412,Sauherad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,21
1413,Sauherad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,49
1414,Sauherad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,203
1415,Sauherad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,58
1416,Sauherad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,12
1417,Sauherad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,24
1418,Sauherad (-2019),Other housesholds,Households,2019,0
1419,Tinn (-2019),Living alone,Households,2019,1214
1420,Tinn (-2019),Couple without resident children,Households,2019,728
1421,Tinn (-2019),Couple with small children (youngest child 0-5 years),Households,2019,145
1422,Tinn (-2019),Couple with older children (youngest child 6-17 years),Households,2019,292
1423,Tinn (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,30
1424,Tinn (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,115
1425,Tinn (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,199
1426,Tinn (-2019),Two or more-family households without resident children 0-17 years,Households,2019,62
1427,Tinn (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,10
1428,Tinn (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,10
1429,Tinn (-2019),Other housesholds,Households,2019,0
1430,Hjartdal (-2019),Living alone,Households,2019,258
1431,Hjartdal (-2019),Couple without resident children,Households,2019,178
1432,Hjartdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,51
1433,Hjartdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,82
1434,Hjartdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,3
1435,Hjartdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,15
1436,Hjartdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,63
1437,Hjartdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,15
1438,Hjartdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,9
1439,Hjartdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
1440,Hjartdal (-2019),Other housesholds,Households,2019,0
1441,Seljord (-2019),Living alone,Households,2019,528
1442,Seljord (-2019),Couple without resident children,Households,2019,359
1443,Seljord (-2019),Couple with small children (youngest child 0-5 years),Households,2019,98
1444,Seljord (-2019),Couple with older children (youngest child 6-17 years),Households,2019,160
1445,Seljord (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,12
1446,Seljord (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,28
1447,Seljord (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,90
1448,Seljord (-2019),Two or more-family households without resident children 0-17 years,Households,2019,40
1449,Seljord (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,6
1450,Seljord (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,14
1451,Seljord (-2019),Other housesholds,Households,2019,0
1452,Kviteseid (-2019),Living alone,Households,2019,459
1453,Kviteseid (-2019),Couple without resident children,Households,2019,295
1454,Kviteseid (-2019),Couple with small children (youngest child 0-5 years),Households,2019,79
1455,Kviteseid (-2019),Couple with older children (youngest child 6-17 years),Households,2019,101
1456,Kviteseid (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
1457,Kviteseid (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,24
1458,Kviteseid (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,116
1459,Kviteseid (-2019),Two or more-family households without resident children 0-17 years,Households,2019,37
1460,Kviteseid (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,5
1461,Kviteseid (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,7
1462,Kviteseid (-2019),Other housesholds,Households,2019,0
1463,Nissedal (-2019),Living alone,Households,2019,249
1464,Nissedal (-2019),Couple without resident children,Households,2019,182
1465,Nissedal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,63
1466,Nissedal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,60
1467,Nissedal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,5
1468,Nissedal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,14
1469,Nissedal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,49
1470,Nissedal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,21
1471,Nissedal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
1472,Nissedal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,6
1473,Nissedal (-2019),Other housesholds,Households,2019,0
1474,Fyresdal (-2019),Living alone,Households,2019,254
1475,Fyresdal (-2019),Couple without resident children,Households,2019,140
1476,Fyresdal (-2019),Couple with small children (youngest child 0-5 years),Households,2019,37
1477,Fyresdal (-2019),Couple with older children (youngest child 6-17 years),Households,2019,72
1478,Fyresdal (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,7
1479,Fyresdal (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,22
1480,Fyresdal (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,46
1481,Fyresdal (-2019),Two or more-family households without resident children 0-17 years,Households,2019,10
1482,Fyresdal (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,1
1483,Fyresdal (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
1484,Fyresdal (-2019),Other housesholds,Households,2019,0
1485,Tokke (-2019),Living alone,Households,2019,426
1486,Tokke (-2019),Couple without resident children,Households,2019,254
1487,Tokke (-2019),Couple with small children (youngest child 0-5 years),Households,2019,60
1488,Tokke (-2019),Couple with older children (youngest child 6-17 years),Households,2019,114
1489,Tokke (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,13
1490,Tokke (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,24
1491,Tokke (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,86
1492,Tokke (-2019),Two or more-family households without resident children 0-17 years,Households,2019,24
1493,Tokke (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,7
1494,Tokke (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
1495,Tokke (-2019),Other housesholds,Households,2019,0
1496,Vinje (-2019),Living alone,Households,2019,724
1497,Vinje (-2019),Couple without resident children,Households,2019,416
1498,Vinje (-2019),Couple with small children (youngest child 0-5 years),Households,2019,132
1499,Vinje (-2019),Couple with older children (youngest child 6-17 years),Households,2019,174
1500,Vinje (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,16
1501,Vinje (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,44
1502,Vinje (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,147
1503,Vinje (-2019),Two or more-family households without resident children 0-17 years,Households,2019,43
1504,Vinje (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
1505,Vinje (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
1506,Vinje (-2019),Other housesholds,Households,2019,0
1507,Risør (-2019),Living alone,Households,2019,1304
1508,Risør (-2019),Couple without resident children,Households,2019,846
1509,Risør (-2019),Couple with small children (youngest child 0-5 years),Households,2019,208
1510,Risør (-2019),Couple with older children (youngest child 6-17 years),Households,2019,307
1511,Risør (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,39
1512,Risør (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,103
1513,Risør (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,275
1514,Risør (-2019),Two or more-family households without resident children 0-17 years,Households,2019,88
1515,Risør (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,23
1516,Risør (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,26
1517,Risør (-2019),Other housesholds,Households,2019,0
1518,Grimstad (-2019),Living alone,Households,2019,3952
1519,Grimstad (-2019),Couple without resident children,Households,2019,2589
1520,Grimstad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,1025
1521,Grimstad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,1211
1522,Grimstad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,95
1523,Grimstad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,342
1524,Grimstad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,816
1525,Grimstad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,400
1526,Grimstad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,83
1527,Grimstad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,106
1528,Grimstad (-2019),Other housesholds,Households,2019,0
1529,Arendal (1992-2019),Living alone,Households,2019,7872
1530,Arendal (1992-2019),Couple without resident children,Households,2019,4958
1531,Arendal (1992-2019),Couple with small children (youngest child 0-5 years),Households,2019,1792
1532,Arendal (1992-2019),Couple with older children (youngest child 6-17 years),Households,2019,2220
1533,Arendal (1992-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,290
1534,Arendal (1992-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,835
1535,Arendal (1992-2019),One family households with adult children (youngest child 18 years and over,Households,2019,1647
1536,Arendal (1992-2019),Two or more-family households without resident children 0-17 years,Households,2019,562
1537,Arendal (1992-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,85
1538,Arendal (1992-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,146
1539,Arendal (1992-2019),Other housesholds,Households,2019,0
1540,Gjerstad (-2019),Living alone,Households,2019,427
1541,Gjerstad (-2019),Couple without resident children,Households,2019,303
1542,Gjerstad (-2019),Couple with small children (youngest child 0-5 years),Households,2019,79
1543,Gjerstad (-2019),Couple with older children (youngest child 6-17 years),Households,2019,113
1544,Gjerstad (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,9
1545,Gjerstad (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,38
1546,Gjerstad (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,104
1547,Gjerstad (-2019),Two or more-family households without resident children 0-17 years,Households,2019,35
1548,Gjerstad (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
1549,Gjerstad (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,12
1550,Gjerstad (-2019),Other housesholds,Households,2019,0
1551,Vegårshei (-2019),Living alone,Households,2019,347
1552,Vegårshei (-2019),Couple without resident children,Households,2019,231
1553,Vegårshei (-2019),Couple with small children (youngest child 0-5 years),Households,2019,80
1554,Vegårshei (-2019),Couple with older children (youngest child 6-17 years),Households,2019,116
1555,Vegårshei (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,10
1556,Vegårshei (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,33
1557,Vegårshei (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,56
1558,Vegårshei (-2019),Two or more-family households without resident children 0-17 years,Households,2019,20
1559,Vegårshei (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,2
1560,Vegårshei (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,9
1561,Vegårshei (-2019),Other housesholds,Households,2019,0
1562,Tvedestrand (-2019),Living alone,Households,2019,1051
1563,Tvedestrand (-2019),Couple without resident children,Households,2019,745
1564,Tvedestrand (-2019),Couple with small children (youngest child 0-5 years),Households,2019,209
1565,Tvedestrand (-2019),Couple with older children (youngest child 6-17 years),Households,2019,293
1566,Tvedestrand (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,25
1567,Tvedestrand (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,87
1568,Tvedestrand (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,216
1569,Tvedestrand (-2019),Two or more-family households without resident children 0-17 years,Households,2019,102
1570,Tvedestrand (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,16
1571,Tvedestrand (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
1572,Tvedestrand (-2019),Other housesholds,Households,2019,0
1573,Froland (-2019),Living alone,Households,2019,791
1574,Froland (-2019),Couple without resident children,Households,2019,629
1575,Froland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,276
1576,Froland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,339
1577,Froland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,35
1578,Froland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,102
1579,Froland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,196
1580,Froland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,61
1581,Froland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
1582,Froland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,20
1583,Froland (-2019),Other housesholds,Households,2019,0
1584,Lillesand (-2019),Living alone,Households,2019,1493
1585,Lillesand (-2019),Couple without resident children,Households,2019,1209
1586,Lillesand (-2019),Couple with small children (youngest child 0-5 years),Households,2019,475
1587,Lillesand (-2019),Couple with older children (youngest child 6-17 years),Households,2019,609
1588,Lillesand (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,59
1589,Lillesand (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,168
1590,Lillesand (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,382
1591,Lillesand (-2019),Two or more-family households without resident children 0-17 years,Households,2019,117
1592,Lillesand (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,27
1593,Lillesand (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,36
1594,Lillesand (-2019),Other housesholds,Households,2019,0
1595,Birkenes (-2019),Living alone,Households,2019,706
1596,Birkenes (-2019),Couple without resident children,Households,2019,516
1597,Birkenes (-2019),Couple with small children (youngest child 0-5 years),Households,2019,260
1598,Birkenes (-2019),Couple with older children (youngest child 6-17 years),Households,2019,291
1599,Birkenes (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,31
1600,Birkenes (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,70
1601,Birkenes (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,173
1602,Birkenes (-2019),Two or more-family households without resident children 0-17 years,Households,2019,60
1603,Birkenes (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,16
1604,Birkenes (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,19
1605,Birkenes (-2019),Other housesholds,Households,2019,0
1606,Åmli (-2019),Living alone,Households,2019,332
1607,Åmli (-2019),Couple without resident children,Households,2019,179
1608,Åmli (-2019),Couple with small children (youngest child 0-5 years),Households,2019,84
1609,Åmli (-2019),Couple with older children (youngest child 6-17 years),Households,2019,75
1610,Åmli (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,8
1611,Åmli (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,21
1612,Åmli (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,78
1613,Åmli (-2019),Two or more-family households without resident children 0-17 years,Households,2019,29
1614,Åmli (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,8
1615,Åmli (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,9
1616,Åmli (-2019),Other housesholds,Households,2019,0
1617,Iveland (-2019),Living alone,Households,2019,177
1618,Iveland (-2019),Couple without resident children,Households,2019,146
1619,Iveland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,71
1620,Iveland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,57
1621,Iveland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,9
1622,Iveland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,27
1623,Iveland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,39
1624,Iveland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,19
1625,Iveland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
1626,Iveland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,6
1627,Iveland (-2019),Other housesholds,Households,2019,0
1628,Evje og Hornnes (-2019),Living alone,Households,2019,573
1629,Evje og Hornnes (-2019),Couple without resident children,Households,2019,401
1630,Evje og Hornnes (-2019),Couple with small children (youngest child 0-5 years),Households,2019,156
1631,Evje og Hornnes (-2019),Couple with older children (youngest child 6-17 years),Households,2019,162
1632,Evje og Hornnes (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,18
1633,Evje og Hornnes (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,72
1634,Evje og Hornnes (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,115
1635,Evje og Hornnes (-2019),Two or more-family households without resident children 0-17 years,Households,2019,49
1636,Evje og Hornnes (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,14
1637,Evje og Hornnes (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,15
1638,Evje og Hornnes (-2019),Other housesholds,Households,2019,0
1639,Bygland (-2019),Living alone,Households,2019,212
1640,Bygland (-2019),Couple without resident children,Households,2019,141
1641,Bygland (-2019),Couple with small children (youngest child 0-5 years),Households,2019,38
1642,Bygland (-2019),Couple with older children (youngest child 6-17 years),Households,2019,59
1643,Bygland (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,6
1644,Bygland (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,18
1645,Bygland (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,52
1646,Bygland (-2019),Two or more-family households without resident children 0-17 years,Households,2019,14
1647,Bygland (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,3
1648,Bygland (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,2
1649,Bygland (-2019),Other housesholds,Households,2019,0
1650,Valle (-2019),Living alone,Households,2019,227
1651,Valle (-2019),Couple without resident children,Households,2019,132
1652,Valle (-2019),Couple with small children (youngest child 0-5 years),Households,2019,35
1653,Valle (-2019),Couple with older children (youngest child 6-17 years),Households,2019,57
1654,Valle (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,2
1655,Valle (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,15
1656,Valle (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,53
1657,Valle (-2019),Two or more-family households without resident children 0-17 years,Households,2019,10
1658,Valle (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,2
1659,Valle (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,3
1660,Valle (-2019),Other housesholds,Households,2019,0
1661,Bykle (-2019),Living alone,Households,2019,182
1662,Bykle (-2019),Couple without resident children,Households,2019,90
1663,Bykle (-2019),Couple with small children (youngest child 0-5 years),Households,2019,38
1664,Bykle (-2019),Couple with older children (youngest child 6-17 years),Households,2019,50
1665,Bykle (-2019),Lone parent with small children (youngest child 0-5 years),Households,2019,1
1666,Bykle (-2019),Lone parent with older children (youngest child 6-17 years),Households,2019,15
1667,Bykle (-2019),One family households with adult children (youngest child 18 years and over,Households,2019,39
1668,Bykle (-2019),Two or more-family households without resident children 0-17 years,Households,2019,11
1669,Bykle (-2019),Two or more-family households with small children (youngest child 0-5 years),Households,2019,4
1670,Bykle (-2019),Two or more-family households with older children (youngest child 6-17 years),Households,2019,0
1671,Bykle (-2019),Other housesholds,Households,2019,0
1672,Kristiansand (-2019),Living alone,Households,2019,17081
