,region,ownership,contents,year,value
551,Samnanger,Private,Kindergartens,2019,1
552,Bjørnafjorden,Municipal,Kindergartens,2019,8
553,Bjørnafjorden,County authorities/Government,Kindergartens,2019,0
554,Bjørnafjorden,Private,Kindergartens,2019,16
555,Austevoll,Municipal,Kindergartens,2019,0
556,Austevoll,County authorities/Government,Kindergartens,2019,0
557,Austevoll,Private,Kindergartens,2019,6
558,Øygarden,Municipal,Kindergartens,2019,18
559,Øygarden,County authorities/Government,Kindergartens,2019,0
560,Øygarden,Private,Kindergartens,2019,24
561,Askøy,Municipal,Kindergartens,2019,10
562,Askøy,County authorities/Government,Kindergartens,2019,0
563,Askøy,Private,Kindergartens,2019,18
564,Vaksdal,Municipal,Kindergartens,2019,4
565,Vaksdal,County authorities/Government,Kindergartens,2019,0
566,Vaksdal,Private,Kindergartens,2019,0
567,Modalen,Municipal,Kindergartens,2019,1
568,Modalen,County authorities/Government,Kindergartens,2019,0
569,Modalen,Private,Kindergartens,2019,0
570,Osterøy,Municipal,Kindergartens,2019,6
571,Osterøy,County authorities/Government,Kindergartens,2019,0
572,Osterøy,Private,Kindergartens,2019,2
573,Alver,Municipal,Kindergartens,2019,8
574,Alver,County authorities/Government,Kindergartens,2019,0
575,Alver,Private,Kindergartens,2019,21
576,Austrheim,Municipal,Kindergartens,2019,2
577,Austrheim,County authorities/Government,Kindergartens,2019,0
578,Austrheim,Private,Kindergartens,2019,0
579,Fedje,Municipal,Kindergartens,2019,1
580,Fedje,County authorities/Government,Kindergartens,2019,0
581,Fedje,Private,Kindergartens,2019,0
582,Masfjorden,Municipal,Kindergartens,2019,3
583,Masfjorden,County authorities/Government,Kindergartens,2019,0
584,Masfjorden,Private,Kindergartens,2019,0
585,Gulen,Municipal,Kindergartens,2019,4
586,Gulen,County authorities/Government,Kindergartens,2019,0
587,Gulen,Private,Kindergartens,2019,0
588,Solund,Municipal,Kindergartens,2019,1
589,Solund,County authorities/Government,Kindergartens,2019,0
590,Solund,Private,Kindergartens,2019,0
591,Hyllestad,Municipal,Kindergartens,2019,1
592,Hyllestad,County authorities/Government,Kindergartens,2019,0
593,Hyllestad,Private,Kindergartens,2019,0
594,Høyanger,Municipal,Kindergartens,2019,6
595,Høyanger,County authorities/Government,Kindergartens,2019,0
596,Høyanger,Private,Kindergartens,2019,0
597,Vik,Municipal,Kindergartens,2019,5
598,Vik,County authorities/Government,Kindergartens,2019,0
599,Vik,Private,Kindergartens,2019,0
600,Sogndal,Municipal,Kindergartens,2019,10
601,Sogndal,County authorities/Government,Kindergartens,2019,0
602,Sogndal,Private,Kindergartens,2019,4
603,Aurland,Municipal,Kindergartens,2019,2
604,Aurland,County authorities/Government,Kindergartens,2019,0
605,Aurland,Private,Kindergartens,2019,1
606,Lærdal,Municipal,Kindergartens,2019,2
607,Lærdal,County authorities/Government,Kindergartens,2019,0
608,Lærdal,Private,Kindergartens,2019,0
609,Årdal,Municipal,Kindergartens,2019,6
610,Årdal,County authorities/Government,Kindergartens,2019,0
611,Årdal,Private,Kindergartens,2019,0
612,Luster,Municipal,Kindergartens,2019,9
613,Luster,County authorities/Government,Kindergartens,2019,0
614,Luster,Private,Kindergartens,2019,0
615,Askvoll,Municipal,Kindergartens,2019,5
616,Askvoll,County authorities/Government,Kindergartens,2019,0
617,Askvoll,Private,Kindergartens,2019,0
618,Fjaler,Municipal,Kindergartens,2019,3
619,Fjaler,County authorities/Government,Kindergartens,2019,0
620,Fjaler,Private,Kindergartens,2019,1
621,Sunnfjord,Municipal,Kindergartens,2019,19
622,Sunnfjord,County authorities/Government,Kindergartens,2019,0
623,Sunnfjord,Private,Kindergartens,2019,8
624,Bremanger,Municipal,Kindergartens,2019,7
625,Bremanger,County authorities/Government,Kindergartens,2019,0
626,Bremanger,Private,Kindergartens,2019,0
627,Stad,Municipal,Kindergartens,2019,7
628,Stad,County authorities/Government,Kindergartens,2019,0
629,Stad,Private,Kindergartens,2019,4
630,Gloppen,Municipal,Kindergartens,2019,3
631,Gloppen,County authorities/Government,Kindergartens,2019,0
632,Gloppen,Private,Kindergartens,2019,5
633,Stryn,Municipal,Kindergartens,2019,8
634,Stryn,County authorities/Government,Kindergartens,2019,0
635,Stryn,Private,Kindergartens,2019,1
636,Kristiansund,Municipal,Kindergartens,2019,6
637,Kristiansund,County authorities/Government,Kindergartens,2019,0
638,Kristiansund,Private,Kindergartens,2019,11
639,Molde,Municipal,Kindergartens,2019,16
640,Molde,County authorities/Government,Kindergartens,2019,0
641,Molde,Private,Kindergartens,2019,17
642,Ålesund,Municipal,Kindergartens,2019,24
643,Ålesund,County authorities/Government,Kindergartens,2019,0
644,Ålesund,Private,Kindergartens,2019,40
645,Vanylven,Municipal,Kindergartens,2019,2
646,Vanylven,County authorities/Government,Kindergartens,2019,0
647,Vanylven,Private,Kindergartens,2019,1
648,Sande,Municipal,Kindergartens,2019,5
649,Sande,County authorities/Government,Kindergartens,2019,0
650,Sande,Private,Kindergartens,2019,0
651,Herøy (Møre og Romsdal),Municipal,Kindergartens,2019,4
652,Herøy (Møre og Romsdal),County authorities/Government,Kindergartens,2019,0
653,Herøy (Møre og Romsdal),Private,Kindergartens,2019,5
654,Ulstein,Municipal,Kindergartens,2019,1
655,Ulstein,County authorities/Government,Kindergartens,2019,0
656,Ulstein,Private,Kindergartens,2019,8
657,Hareid,Municipal,Kindergartens,2019,3
658,Hareid,County authorities/Government,Kindergartens,2019,0
659,Hareid,Private,Kindergartens,2019,1
660,Ørsta,Municipal,Kindergartens,2019,7
661,Ørsta,County authorities/Government,Kindergartens,2019,0
662,Ørsta,Private,Kindergartens,2019,4
663,Stranda,Municipal,Kindergartens,2019,5
664,Stranda,County authorities/Government,Kindergartens,2019,0
665,Stranda,Private,Kindergartens,2019,2
666,Sykkylven,Municipal,Kindergartens,2019,5
667,Sykkylven,County authorities/Government,Kindergartens,2019,0
668,Sykkylven,Private,Kindergartens,2019,4
669,Sula,Municipal,Kindergartens,2019,4
670,Sula,County authorities/Government,Kindergartens,2019,0
671,Sula,Private,Kindergartens,2019,6
672,Giske,Municipal,Kindergartens,2019,2
673,Giske,County authorities/Government,Kindergartens,2019,0
674,Giske,Private,Kindergartens,2019,6
675,Vestnes,Municipal,Kindergartens,2019,5
676,Vestnes,County authorities/Government,Kindergartens,2019,0
677,Vestnes,Private,Kindergartens,2019,2
678,Rauma,Municipal,Kindergartens,2019,6
679,Rauma,County authorities/Government,Kindergartens,2019,0
680,Rauma,Private,Kindergartens,2019,3
681,Aukra,Municipal,Kindergartens,2019,3
682,Aukra,County authorities/Government,Kindergartens,2019,0
683,Aukra,Private,Kindergartens,2019,0
684,Averøy,Municipal,Kindergartens,2019,2
685,Averøy,County authorities/Government,Kindergartens,2019,0
686,Averøy,Private,Kindergartens,2019,6
687,Gjemnes,Municipal,Kindergartens,2019,3
688,Gjemnes,County authorities/Government,Kindergartens,2019,0
689,Gjemnes,Private,Kindergartens,2019,2
690,Tingvoll,Municipal,Kindergartens,2019,3
691,Tingvoll,County authorities/Government,Kindergartens,2019,0
692,Tingvoll,Private,Kindergartens,2019,0
693,Sunndal,Municipal,Kindergartens,2019,6
694,Sunndal,County authorities/Government,Kindergartens,2019,0
695,Sunndal,Private,Kindergartens,2019,0
696,Surnadal,Municipal,Kindergartens,2019,8
697,Surnadal,County authorities/Government,Kindergartens,2019,0
698,Surnadal,Private,Kindergartens,2019,1
699,Smøla,Municipal,Kindergartens,2019,4
700,Smøla,County authorities/Government,Kindergartens,2019,0
701,Smøla,Private,Kindergartens,2019,0
702,Aure,Municipal,Kindergartens,2019,4
703,Aure,County authorities/Government,Kindergartens,2019,0
704,Aure,Private,Kindergartens,2019,1
705,Volda,Municipal,Kindergartens,2019,8
706,Volda,County authorities/Government,Kindergartens,2019,0
707,Volda,Private,Kindergartens,2019,8
708,Fjord,Municipal,Kindergartens,2019,3
709,Fjord,County authorities/Government,Kindergartens,2019,0
710,Fjord,Private,Kindergartens,2019,0
711,Hustadvika,Municipal,Kindergartens,2019,8
712,Hustadvika,County authorities/Government,Kindergartens,2019,0
713,Hustadvika,Private,Kindergartens,2019,7
714,Trondheim,Municipal,Kindergartens,2019,106
715,Trondheim,County authorities/Government,Kindergartens,2019,0
716,Trondheim,Private,Kindergartens,2019,136
717,teinkj,Municipal,Kindergartens,2019,7
718,teinkj,County authorities/Government,Kindergartens,2019,0
719,teinkj,Private,Kindergartens,2019,24
720,Namsos,Municipal,Kindergartens,2019,12
721,Namsos,County authorities/Government,Kindergartens,2019,0
722,Namsos,Private,Kindergartens,2019,12
723,Frøya,Municipal,Kindergartens,2019,6
724,Frøya,County authorities/Government,Kindergartens,2019,0
725,Frøya,Private,Kindergartens,2019,2
726,Osen,Municipal,Kindergartens,2019,1
727,Osen,County authorities/Government,Kindergartens,2019,0
728,Osen,Private,Kindergartens,2019,0
729,Oppdal,Municipal,Kindergartens,2019,4
730,Oppdal,County authorities/Government,Kindergartens,2019,0
731,Oppdal,Private,Kindergartens,2019,6
732,Rennebu,Municipal,Kindergartens,2019,2
733,Rennebu,County authorities/Government,Kindergartens,2019,0
734,Rennebu,Private,Kindergartens,2019,0
735,Røros,Municipal,Kindergartens,2019,5
736,Røros,County authorities/Government,Kindergartens,2019,0
737,Røros,Private,Kindergartens,2019,2
738,Holtålen,Municipal,Kindergartens,2019,2
739,Holtålen,County authorities/Government,Kindergartens,2019,0
740,Holtålen,Private,Kindergartens,2019,0
741,Midtre Gauldal,Municipal,Kindergartens,2019,5
742,Midtre Gauldal,County authorities/Government,Kindergartens,2019,0
743,Midtre Gauldal,Private,Kindergartens,2019,2
744,Melhus,Municipal,Kindergartens,2019,11
745,Melhus,County authorities/Government,Kindergartens,2019,0
746,Melhus,Private,Kindergartens,2019,5
747,Skaun,Municipal,Kindergartens,2019,7
748,Skaun,County authorities/Government,Kindergartens,2019,0
749,Skaun,Private,Kindergartens,2019,1
750,Malvik,Municipal,Kindergartens,2019,7
751,Malvik,County authorities/Government,Kindergartens,2019,0
752,Malvik,Private,Kindergartens,2019,8
753,Selbu,Municipal,Kindergartens,2019,5
754,Selbu,County authorities/Government,Kindergartens,2019,0
755,Selbu,Private,Kindergartens,2019,0
756,Tydal,Municipal,Kindergartens,2019,1
757,Tydal,County authorities/Government,Kindergartens,2019,0
758,Tydal,Private,Kindergartens,2019,0
759,Meråker,Municipal,Kindergartens,2019,2
760,Meråker,County authorities/Government,Kindergartens,2019,0
761,Meråker,Private,Kindergartens,2019,0
762,Stjørdal,Municipal,Kindergartens,2019,10
763,Stjørdal,County authorities/Government,Kindergartens,2019,0
764,Stjørdal,Private,Kindergartens,2019,24
765,Frosta,Municipal,Kindergartens,2019,2
766,Frosta,County authorities/Government,Kindergartens,2019,0
767,Frosta,Private,Kindergartens,2019,1
768,Levanger,Municipal,Kindergartens,2019,9
769,Levanger,County authorities/Government,Kindergartens,2019,0
770,Levanger,Private,Kindergartens,2019,18
771,Verdal,Municipal,Kindergartens,2019,9
772,Verdal,County authorities/Government,Kindergartens,2019,0
773,Verdal,Private,Kindergartens,2019,6
774,Snåase - Snåsa,Municipal,Kindergartens,2019,3
775,Snåase - Snåsa,County authorities/Government,Kindergartens,2019,0
776,Snåase - Snåsa,Private,Kindergartens,2019,2
777,Lierne,Municipal,Kindergartens,2019,2
778,Lierne,County authorities/Government,Kindergartens,2019,0
779,Lierne,Private,Kindergartens,2019,0
780,Raarvihke - Røyrvik,Municipal,Kindergartens,2019,1
781,Raarvihke - Røyrvik,County authorities/Government,Kindergartens,2019,0
782,Raarvihke - Røyrvik,Private,Kindergartens,2019,0
783,Namsskogan,Municipal,Kindergartens,2019,3
784,Namsskogan,County authorities/Government,Kindergartens,2019,0
785,Namsskogan,Private,Kindergartens,2019,0
786,Grong,Municipal,Kindergartens,2019,4
787,Grong,County authorities/Government,Kindergartens,2019,0
788,Grong,Private,Kindergartens,2019,0
789,Høylandet,Municipal,Kindergartens,2019,1
790,Høylandet,County authorities/Government,Kindergartens,2019,0
791,Høylandet,Private,Kindergartens,2019,0
792,Overhalla,Municipal,Kindergartens,2019,3
793,Overhalla,County authorities/Government,Kindergartens,2019,0
794,Overhalla,Private,Kindergartens,2019,1
795,Flatanger,Municipal,Kindergartens,2019,2
796,Flatanger,County authorities/Government,Kindergartens,2019,0
797,Flatanger,Private,Kindergartens,2019,0
798,Leka,Municipal,Kindergartens,2019,1
799,Leka,County authorities/Government,Kindergartens,2019,0
800,Leka,Private,Kindergartens,2019,0
801,Inderøy,Municipal,Kindergartens,2019,6
802,Inderøy,County authorities/Government,Kindergartens,2019,0
803,Inderøy,Private,Kindergartens,2019,4
804,Indre Fosen,Municipal,Kindergartens,2019,7
805,Indre Fosen,County authorities/Government,Kindergartens,2019,0
806,Indre Fosen,Private,Kindergartens,2019,7
807,Heim,Municipal,Kindergartens,2019,0
808,Heim,County authorities/Government,Kindergartens,2019,0
809,Heim,Private,Kindergartens,2019,0
810,Hitra,Municipal,Kindergartens,2019,0
811,Hitra,County authorities/Government,Kindergartens,2019,0
812,Hitra,Private,Kindergartens,2019,0
813,Ørland,Municipal,Kindergartens,2019,6
814,Ørland,County authorities/Government,Kindergartens,2019,0
815,Ørland,Private,Kindergartens,2019,4
816,Åfjord,Municipal,Kindergartens,2019,6
817,Åfjord,County authorities/Government,Kindergartens,2019,0
818,Åfjord,Private,Kindergartens,2019,1
819,Orkland,Municipal,Kindergartens,2019,0
820,Orkland,County authorities/Government,Kindergartens,2019,0
821,Orkland,Private,Kindergartens,2019,0
822,Nærøysund,Municipal,Kindergartens,2019,6
823,Nærøysund,County authorities/Government,Kindergartens,2019,0
824,Nærøysund,Private,Kindergartens,2019,11
825,Rindal,Municipal,Kindergartens,2019,3
826,Rindal,County authorities/Government,Kindergartens,2019,0
827,Rindal,Private,Kindergartens,2019,0
828,Bodø,Municipal,Kindergartens,2019,26
829,Bodø,County authorities/Government,Kindergartens,2019,0
830,Bodø,Private,Kindergartens,2019,34
831,Narvik,Municipal,Kindergartens,2019,0
832,Narvik,County authorities/Government,Kindergartens,2019,0
833,Narvik,Private,Kindergartens,2019,0
834,Bindal,Municipal,Kindergartens,2019,3
835,Bindal,County authorities/Government,Kindergartens,2019,0
836,Bindal,Private,Kindergartens,2019,0
837,Sømna,Municipal,Kindergartens,2019,2
838,Sømna,County authorities/Government,Kindergartens,2019,0
839,Sømna,Private,Kindergartens,2019,1
840,Brønnøy,Municipal,Kindergartens,2019,4
841,Brønnøy,County authorities/Government,Kindergartens,2019,0
842,Brønnøy,Private,Kindergartens,2019,5
843,Vega,Municipal,Kindergartens,2019,1
844,Vega,County authorities/Government,Kindergartens,2019,0
845,Vega,Private,Kindergartens,2019,0
846,Vevelstad,Municipal,Kindergartens,2019,2
847,Vevelstad,County authorities/Government,Kindergartens,2019,0
848,Vevelstad,Private,Kindergartens,2019,0
849,Herøy (Nordland),Municipal,Kindergartens,2019,1
850,Herøy (Nordland),County authorities/Government,Kindergartens,2019,0
851,Herøy (Nordland),Private,Kindergartens,2019,1
852,Alstahaug,Municipal,Kindergartens,2019,5
853,Alstahaug,County authorities/Government,Kindergartens,2019,0
854,Alstahaug,Private,Kindergartens,2019,4
855,Leirfjord,Municipal,Kindergartens,2019,4
856,Leirfjord,County authorities/Government,Kindergartens,2019,0
857,Leirfjord,Private,Kindergartens,2019,0
858,Vefsn,Municipal,Kindergartens,2019,7
859,Vefsn,County authorities/Government,Kindergartens,2019,0
860,Vefsn,Private,Kindergartens,2019,12
861,Grane,Municipal,Kindergartens,2019,1
862,Grane,County authorities/Government,Kindergartens,2019,0
863,Grane,Private,Kindergartens,2019,1
864,Hattfjelldal,Municipal,Kindergartens,2019,3
865,Hattfjelldal,County authorities/Government,Kindergartens,2019,0
866,Hattfjelldal,Private,Kindergartens,2019,0
867,Dønna,Municipal,Kindergartens,2019,2
868,Dønna,County authorities/Government,Kindergartens,2019,0
869,Dønna,Private,Kindergartens,2019,1
870,Nesna,Municipal,Kindergartens,2019,1
871,Nesna,County authorities/Government,Kindergartens,2019,0
872,Nesna,Private,Kindergartens,2019,2
873,Hemnes,Municipal,Kindergartens,2019,6
874,Hemnes,County authorities/Government,Kindergartens,2019,0
875,Hemnes,Private,Kindergartens,2019,1
876,Rana,Municipal,Kindergartens,2019,9
877,Rana,County authorities/Government,Kindergartens,2019,0
878,Rana,Private,Kindergartens,2019,14
879,Lurøy,Municipal,Kindergartens,2019,6
880,Lurøy,County authorities/Government,Kindergartens,2019,0
881,Lurøy,Private,Kindergartens,2019,0
882,Træna,Municipal,Kindergartens,2019,1
883,Træna,County authorities/Government,Kindergartens,2019,0
884,Træna,Private,Kindergartens,2019,0
885,Rødøy,Municipal,Kindergartens,2019,4
886,Rødøy,County authorities/Government,Kindergartens,2019,0
887,Rødøy,Private,Kindergartens,2019,0
888,Meløy,Municipal,Kindergartens,2019,9
889,Meløy,County authorities/Government,Kindergartens,2019,0
890,Meløy,Private,Kindergartens,2019,0
891,Gildeskål,Municipal,Kindergartens,2019,5
892,Gildeskål,County authorities/Government,Kindergartens,2019,0
893,Gildeskål,Private,Kindergartens,2019,0
894,Beiarn,Municipal,Kindergartens,2019,1
895,Beiarn,County authorities/Government,Kindergartens,2019,0
896,Beiarn,Private,Kindergartens,2019,0
897,Saltdal,Municipal,Kindergartens,2019,5
898,Saltdal,County authorities/Government,Kindergartens,2019,0
899,Saltdal,Private,Kindergartens,2019,1
900,Fauske - Fuosko,Municipal,Kindergartens,2019,5
901,Fauske - Fuosko,County authorities/Government,Kindergartens,2019,0
902,Fauske - Fuosko,Private,Kindergartens,2019,5
903,Sørfold,Municipal,Kindergartens,2019,3
904,Sørfold,County authorities/Government,Kindergartens,2019,0
905,Sørfold,Private,Kindergartens,2019,0
906,Steigen,Municipal,Kindergartens,2019,4
907,Steigen,County authorities/Government,Kindergartens,2019,0
908,Steigen,Private,Kindergartens,2019,0
909,Lødingen,Municipal,Kindergartens,2019,1
910,Lødingen,County authorities/Government,Kindergartens,2019,0
911,Lødingen,Private,Kindergartens,2019,1
912,Evenes,Municipal,Kindergartens,2019,2
913,Evenes,County authorities/Government,Kindergartens,2019,0
914,Evenes,Private,Kindergartens,2019,0
915,Røst,Municipal,Kindergartens,2019,1
916,Røst,County authorities/Government,Kindergartens,2019,0
917,Røst,Private,Kindergartens,2019,0
918,Værøy,Municipal,Kindergartens,2019,1
919,Værøy,County authorities/Government,Kindergartens,2019,0
920,Værøy,Private,Kindergartens,2019,0
921,Flakstad,Municipal,Kindergartens,2019,1
922,Flakstad,County authorities/Government,Kindergartens,2019,0
923,Flakstad,Private,Kindergartens,2019,1
924,Vestvågøy,Municipal,Kindergartens,2019,2
925,Vestvågøy,County authorities/Government,Kindergartens,2019,0
926,Vestvågøy,Private,Kindergartens,2019,16
927,Vågan,Municipal,Kindergartens,2019,7
928,Vågan,County authorities/Government,Kindergartens,2019,0
929,Vågan,Private,Kindergartens,2019,10
930,Hadsel,Municipal,Kindergartens,2019,3
931,Hadsel,County authorities/Government,Kindergartens,2019,0
932,Hadsel,Private,Kindergartens,2019,8
933,Bø,Municipal,Kindergartens,2019,3
934,Bø,County authorities/Government,Kindergartens,2019,0
935,Bø,Private,Kindergartens,2019,0
936,Øksnes,Municipal,Kindergartens,2019,3
937,Øksnes,County authorities/Government,Kindergartens,2019,0
938,Øksnes,Private,Kindergartens,2019,2
939,Sortland - Suortá,Municipal,Kindergartens,2019,7
940,Sortland - Suortá,County authorities/Government,Kindergartens,2019,0
941,Sortland - Suortá,Private,Kindergartens,2019,7
942,Andøy,Municipal,Kindergartens,2019,6
943,Andøy,County authorities/Government,Kindergartens,2019,0
944,Andøy,Private,Kindergartens,2019,2
945,Moskenes,Municipal,Kindergartens,2019,1
946,Moskenes,County authorities/Government,Kindergartens,2019,0
947,Moskenes,Private,Kindergartens,2019,0
948,Hamarøy,Municipal,Kindergartens,2019,0
949,Hamarøy,County authorities/Government,Kindergartens,2019,0
950,Hamarøy,Private,Kindergartens,2019,0
951,Tromsø,Municipal,Kindergartens,2019,39
952,Tromsø,County authorities/Government,Kindergartens,2019,0
953,Tromsø,Private,Kindergartens,2019,52
954,Harstad,Municipal,Kindergartens,2019,18
955,Harstad,County authorities/Government,Kindergartens,2019,0
956,Harstad,Private,Kindergartens,2019,14
957,Alta,Municipal,Kindergartens,2019,12
958,Alta,County authorities/Government,Kindergartens,2019,0
959,Alta,Private,Kindergartens,2019,15
960,Vardø,Municipal,Kindergartens,2019,1
961,Vardø,County authorities/Government,Kindergartens,2019,0
962,Vardø,Private,Kindergartens,2019,1
963,Vadsø,Municipal,Kindergartens,2019,6
964,Vadsø,County authorities/Government,Kindergartens,2019,0
965,Vadsø,Private,Kindergartens,2019,0
966,Hammerfest,Municipal,Kindergartens,2019,12
967,Hammerfest,County authorities/Government,Kindergartens,2019,0
968,Hammerfest,Private,Kindergartens,2019,4
969,Kvæfjord,Municipal,Kindergartens,2019,3
970,Kvæfjord,County authorities/Government,Kindergartens,2019,0
971,Kvæfjord,Private,Kindergartens,2019,0
972,Tjeldsund,Municipal,Kindergartens,2019,6
973,Tjeldsund,County authorities/Government,Kindergartens,2019,0
974,Tjeldsund,Private,Kindergartens,2019,1
975,Ibestad,Municipal,Kindergartens,2019,2
976,Ibestad,County authorities/Government,Kindergartens,2019,0
977,Ibestad,Private,Kindergartens,2019,0
978,Gratangen,Municipal,Kindergartens,2019,1
979,Gratangen,County authorities/Government,Kindergartens,2019,0
980,Gratangen,Private,Kindergartens,2019,1
981,Loabák - Lavangen,Municipal,Kindergartens,2019,2
982,Loabák - Lavangen,County authorities/Government,Kindergartens,2019,0
983,Loabák - Lavangen,Private,Kindergartens,2019,0
984,Bardu,Municipal,Kindergartens,2019,5
985,Bardu,County authorities/Government,Kindergartens,2019,0
986,Bardu,Private,Kindergartens,2019,0
987,Salangen,Municipal,Kindergartens,2019,1
988,Salangen,County authorities/Government,Kindergartens,2019,0
989,Salangen,Private,Kindergartens,2019,0
990,Målselv,Municipal,Kindergartens,2019,6
991,Målselv,County authorities/Government,Kindergartens,2019,0
992,Målselv,Private,Kindergartens,2019,0
993,Sørreisa,Municipal,Kindergartens,2019,3
994,Sørreisa,County authorities/Government,Kindergartens,2019,0
995,Sørreisa,Private,Kindergartens,2019,1
996,Dyrøy,Municipal,Kindergartens,2019,1
997,Dyrøy,County authorities/Government,Kindergartens,2019,0
998,Dyrøy,Private,Kindergartens,2019,0
999,Senja,Municipal,Kindergartens,2019,17
1000,Senja,County authorities/Government,Kindergartens,2019,0
1001,Senja,Private,Kindergartens,2019,3
1002,Balsfjord,Municipal,Kindergartens,2019,6
1003,Balsfjord,County authorities/Government,Kindergartens,2019,0
1004,Balsfjord,Private,Kindergartens,2019,2
1005,Karlsøy,Municipal,Kindergartens,2019,5
1006,Karlsøy,County authorities/Government,Kindergartens,2019,0
1007,Karlsøy,Private,Kindergartens,2019,0
1008,Lyngen,Municipal,Kindergartens,2019,4
1009,Lyngen,County authorities/Government,Kindergartens,2019,0
1010,Lyngen,Private,Kindergartens,2019,0
1011,Storfjord - Omasvuotna - Omasvuono,Municipal,Kindergartens,2019,2
1012,Storfjord - Omasvuotna - Omasvuono,County authorities/Government,Kindergartens,2019,0
1013,Storfjord - Omasvuotna - Omasvuono,Private,Kindergartens,2019,1
1014,Gáivuotna - Kåfjord - Kaivuono,Municipal,Kindergartens,2019,3
1015,Gáivuotna - Kåfjord - Kaivuono,County authorities/Government,Kindergartens,2019,0
1016,Gáivuotna - Kåfjord - Kaivuono,Private,Kindergartens,2019,0
1017,Skjervøy,Municipal,Kindergartens,2019,4
1018,Skjervøy,County authorities/Government,Kindergartens,2019,0
1019,Skjervøy,Private,Kindergartens,2019,1
1020,Nordreisa,Municipal,Kindergartens,2019,6
1021,Nordreisa,County authorities/Government,Kindergartens,2019,0
1022,Nordreisa,Private,Kindergartens,2019,4
1023,Kvænangen,Municipal,Kindergartens,2019,2
1024,Kvænangen,County authorities/Government,Kindergartens,2019,0
1025,Kvænangen,Private,Kindergartens,2019,0
1026,Guovdageaidnu - Kautokeino,Municipal,Kindergartens,2019,4
1027,Guovdageaidnu - Kautokeino,County authorities/Government,Kindergartens,2019,0
1028,Guovdageaidnu - Kautokeino,Private,Kindergartens,2019,2
1029,Loppa,Municipal,Kindergartens,2019,1
1030,Loppa,County authorities/Government,Kindergartens,2019,0
1031,Loppa,Private,Kindergartens,2019,0
1032,Hasvik,Municipal,Kindergartens,2019,3
1033,Hasvik,County authorities/Government,Kindergartens,2019,0
1034,Hasvik,Private,Kindergartens,2019,0
1035,Måsøy,Municipal,Kindergartens,2019,1
1036,Måsøy,County authorities/Government,Kindergartens,2019,0
1037,Måsøy,Private,Kindergartens,2019,0
1038,Nordkapp,Municipal,Kindergartens,2019,3
1039,Nordkapp,County authorities/Government,Kindergartens,2019,0
1040,Nordkapp,Private,Kindergartens,2019,0
1041,Porsanger - Porsángu - Porsanki ,Municipal,Kindergartens,2019,3
1042,Porsanger - Porsángu - Porsanki ,County authorities/Government,Kindergartens,2019,0
1043,Porsanger - Porsángu - Porsanki ,Private,Kindergartens,2019,3
1044,Kárásjohka - Karasjok,Municipal,Kindergartens,2019,2
1045,Kárásjohka - Karasjok,County authorities/Government,Kindergartens,2019,0
1046,Kárásjohka - Karasjok,Private,Kindergartens,2019,1
1047,Lebesby,Municipal,Kindergartens,2019,2
1048,Lebesby,County authorities/Government,Kindergartens,2019,0
1049,Lebesby,Private,Kindergartens,2019,0
1050,Gamvik,Municipal,Kindergartens,2019,2
1051,Gamvik,County authorities/Government,Kindergartens,2019,0
1052,Gamvik,Private,Kindergartens,2019,0
1053,Berlevåg,Municipal,Kindergartens,2019,1
1054,Berlevåg,County authorities/Government,Kindergartens,2019,0
1055,Berlevåg,Private,Kindergartens,2019,0
1056,Deatnu - Tana,Municipal,Kindergartens,2019,3
1057,Deatnu - Tana,County authorities/Government,Kindergartens,2019,0
1058,Deatnu - Tana,Private,Kindergartens,2019,2
1059,Unjárga - Nesseby,Municipal,Kindergartens,2019,1
1060,Unjárga - Nesseby,County authorities/Government,Kindergartens,2019,0
1061,Unjárga - Nesseby,Private,Kindergartens,2019,0
1062,Båtsfjord,Municipal,Kindergartens,2019,2
1063,Båtsfjord,County authorities/Government,Kindergartens,2019,0
1064,Båtsfjord,Private,Kindergartens,2019,0
1065,Sør-Varanger,Municipal,Kindergartens,2019,10
1066,Sør-Varanger,County authorities/Government,Kindergartens,2019,0
1067,Sør-Varanger,Private,Kindergartens,2019,2
1068,Svalbard and Jan Mayen,Municipal,Kindergartens,2019,2
1069,Svalbard and Jan Mayen,County authorities/Government,Kindergartens,2019,0
1070,Svalbard and Jan Mayen,Private,Kindergartens,2019,0
1071,Continental shelf,Municipal,Kindergartens,2019,0
1072,Continental shelf,County authorities/Government,Kindergartens,2019,0
1073,Continental shelf,Private,Kindergartens,2019,0
1074,Divided municalities and unknown,Municipal,Kindergartens,2019,45
1075,Divided municalities and unknown,County authorities/Government,Kindergartens,2019,0
1076,Divided municalities and unknown,Private,Kindergartens,2019,19
