,region,contents,year,value
869,Stange (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,76.4
870,Nord-Odal (-2019),"Rooms, total (number)",2019,57.0
871,Nord-Odal (-2019),Private rooms (number),2019,57.0
872,Nord-Odal (-2019),Rooms for two or more (number),2019,0.0
873,Nord-Odal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,57.0
874,Nord-Odal (-2019),Share of single rooms (per cent),2019,100.0
875,Nord-Odal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
876,Sør-Odal (-2019),"Rooms, total (number)",2019,62.0
877,Sør-Odal (-2019),Private rooms (number),2019,62.0
878,Sør-Odal (-2019),Rooms for two or more (number),2019,0.0
879,Sør-Odal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,54.0
880,Sør-Odal (-2019),Share of single rooms (per cent),2019,100.0
881,Sør-Odal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,87.1
882,Eidskog (-2019),"Rooms, total (number)",2019,66.0
883,Eidskog (-2019),Private rooms (number),2019,66.0
884,Eidskog (-2019),Rooms for two or more (number),2019,0.0
885,Eidskog (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,66.0
886,Eidskog (-2019),Share of single rooms (per cent),2019,100.0
887,Eidskog (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
888,Grue (-2019),"Rooms, total (number)",2019,54.0
889,Grue (-2019),Private rooms (number),2019,54.0
890,Grue (-2019),Rooms for two or more (number),2019,0.0
891,Grue (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,54.0
892,Grue (-2019),Share of single rooms (per cent),2019,100.0
893,Grue (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
894,Åsnes (-2019),"Rooms, total (number)",2019,88.0
895,Åsnes (-2019),Private rooms (number),2019,84.0
896,Åsnes (-2019),Rooms for two or more (number),2019,4.0
897,Åsnes (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,84.0
898,Åsnes (-2019),Share of single rooms (per cent),2019,95.5
899,Åsnes (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,95.5
900,Våler (Hedmark) (-2019),"Rooms, total (number)",2019,48.0
901,Våler (Hedmark) (-2019),Private rooms (number),2019,48.0
902,Våler (Hedmark) (-2019),Rooms for two or more (number),2019,0.0
903,Våler (Hedmark) (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,48.0
904,Våler (Hedmark) (-2019),Share of single rooms (per cent),2019,100.0
905,Våler (Hedmark) (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
906,Elverum (-2019),"Rooms, total (number)",2019,193.0
907,Elverum (-2019),Private rooms (number),2019,193.0
908,Elverum (-2019),Rooms for two or more (number),2019,0.0
909,Elverum (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,191.0
910,Elverum (-2019),Share of single rooms (per cent),2019,100.0
911,Elverum (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,99.0
912,Trysil (-2019),"Rooms, total (number)",2019,77.0
913,Trysil (-2019),Private rooms (number),2019,77.0
914,Trysil (-2019),Rooms for two or more (number),2019,0.0
915,Trysil (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,77.0
916,Trysil (-2019),Share of single rooms (per cent),2019,100.0
917,Trysil (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
918,Åmot (-2019),"Rooms, total (number)",2019,59.0
919,Åmot (-2019),Private rooms (number),2019,57.0
920,Åmot (-2019),Rooms for two or more (number),2019,2.0
921,Åmot (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,57.0
922,Åmot (-2019),Share of single rooms (per cent),2019,96.6
923,Åmot (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,96.6
924,Stor-Elvdal (-2019),"Rooms, total (number)",2019,41.0
925,Stor-Elvdal (-2019),Private rooms (number),2019,41.0
926,Stor-Elvdal (-2019),Rooms for two or more (number),2019,0.0
927,Stor-Elvdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,41.0
928,Stor-Elvdal (-2019),Share of single rooms (per cent),2019,100.0
929,Stor-Elvdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
930,Rendalen (-2019),"Rooms, total (number)",2019,20.0
931,Rendalen (-2019),Private rooms (number),2019,20.0
932,Rendalen (-2019),Rooms for two or more (number),2019,0.0
933,Rendalen (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,20.0
934,Rendalen (-2019),Share of single rooms (per cent),2019,100.0
935,Rendalen (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
936,Engerdal (-2019),"Rooms, total (number)",2019,16.0
937,Engerdal (-2019),Private rooms (number),2019,16.0
938,Engerdal (-2019),Rooms for two or more (number),2019,0.0
939,Engerdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,16.0
940,Engerdal (-2019),Share of single rooms (per cent),2019,100.0
941,Engerdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
942,Tolga (-2019),"Rooms, total (number)",2019,19.0
943,Tolga (-2019),Private rooms (number),2019,17.0
944,Tolga (-2019),Rooms for two or more (number),2019,2.0
945,Tolga (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,17.0
946,Tolga (-2019),Share of single rooms (per cent),2019,89.5
947,Tolga (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,89.5
948,Tynset (-2019),"Rooms, total (number)",2019,50.0
949,Tynset (-2019),Private rooms (number),2019,50.0
950,Tynset (-2019),Rooms for two or more (number),2019,0.0
951,Tynset (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,50.0
952,Tynset (-2019),Share of single rooms (per cent),2019,100.0
953,Tynset (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
954,Alvdal (-2019),"Rooms, total (number)",2019,27.0
955,Alvdal (-2019),Private rooms (number),2019,27.0
956,Alvdal (-2019),Rooms for two or more (number),2019,0.0
957,Alvdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,23.0
958,Alvdal (-2019),Share of single rooms (per cent),2019,100.0
959,Alvdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,85.2
960,Folldal (-2019),"Rooms, total (number)",2019,19.0
961,Folldal (-2019),Private rooms (number),2019,19.0
962,Folldal (-2019),Rooms for two or more (number),2019,0.0
963,Folldal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,11.0
964,Folldal (-2019),Share of single rooms (per cent),2019,100.0
965,Folldal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,57.9
966,Os (Hedmark) (-2019),"Rooms, total (number)",2019,24.0
967,Os (Hedmark) (-2019),Private rooms (number),2019,24.0
968,Os (Hedmark) (-2019),Rooms for two or more (number),2019,0.0
969,Os (Hedmark) (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,24.0
970,Os (Hedmark) (-2019),Share of single rooms (per cent),2019,100.0
971,Os (Hedmark) (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
972,Lillehammer (-2019),"Rooms, total (number)",2019,224.0
973,Lillehammer (-2019),Private rooms (number),2019,224.0
974,Lillehammer (-2019),Rooms for two or more (number),2019,0.0
975,Lillehammer (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,224.0
976,Lillehammer (-2019),Share of single rooms (per cent),2019,100.0
977,Lillehammer (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
978,Gjøvik (-2019),"Rooms, total (number)",2019,138.0
979,Gjøvik (-2019),Private rooms (number),2019,136.0
980,Gjøvik (-2019),Rooms for two or more (number),2019,2.0
981,Gjøvik (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,124.0
982,Gjøvik (-2019),Share of single rooms (per cent),2019,98.6
983,Gjøvik (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,89.9
984,Dovre (-2019),"Rooms, total (number)",2019,39.0
985,Dovre (-2019),Private rooms (number),2019,39.0
986,Dovre (-2019),Rooms for two or more (number),2019,0.0
987,Dovre (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,39.0
988,Dovre (-2019),Share of single rooms (per cent),2019,100.0
989,Dovre (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
990,Lesja (-2019),"Rooms, total (number)",2019,30.0
991,Lesja (-2019),Private rooms (number),2019,30.0
992,Lesja (-2019),Rooms for two or more (number),2019,0.0
993,Lesja (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,30.0
994,Lesja (-2019),Share of single rooms (per cent),2019,100.0
995,Lesja (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
996,Skjåk (-2019),"Rooms, total (number)",2019,36.0
997,Skjåk (-2019),Private rooms (number),2019,36.0
998,Skjåk (-2019),Rooms for two or more (number),2019,0.0
999,Skjåk (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,36.0
1000,Skjåk (-2019),Share of single rooms (per cent),2019,100.0
1001,Skjåk (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1002,Lom (-2019),"Rooms, total (number)",2019,33.0
1003,Lom (-2019),Private rooms (number),2019,33.0
1004,Lom (-2019),Rooms for two or more (number),2019,0.0
1005,Lom (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,33.0
1006,Lom (-2019),Share of single rooms (per cent),2019,100.0
1007,Lom (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1008,Vågå (-2019),"Rooms, total (number)",2019,43.0
1009,Vågå (-2019),Private rooms (number),2019,42.0
1010,Vågå (-2019),Rooms for two or more (number),2019,1.0
1011,Vågå (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,29.0
1012,Vågå (-2019),Share of single rooms (per cent),2019,97.7
1013,Vågå (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,67.4
1014,Nord-Fron (-2019),"Rooms, total (number)",2019,72.0
1015,Nord-Fron (-2019),Private rooms (number),2019,72.0
1016,Nord-Fron (-2019),Rooms for two or more (number),2019,0.0
1017,Nord-Fron (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,72.0
1018,Nord-Fron (-2019),Share of single rooms (per cent),2019,100.0
1019,Nord-Fron (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1020,Sel (-2019),"Rooms, total (number)",2019,44.0
1021,Sel (-2019),Private rooms (number),2019,43.0
1022,Sel (-2019),Rooms for two or more (number),2019,1.0
1023,Sel (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,43.0
1024,Sel (-2019),Share of single rooms (per cent),2019,97.7
1025,Sel (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,97.7
1026,Sør-Fron (-2019),"Rooms, total (number)",2019,47.0
1027,Sør-Fron (-2019),Private rooms (number),2019,47.0
1028,Sør-Fron (-2019),Rooms for two or more (number),2019,0.0
1029,Sør-Fron (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,47.0
1030,Sør-Fron (-2019),Share of single rooms (per cent),2019,100.0
1031,Sør-Fron (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1032,Ringebu (-2019),"Rooms, total (number)",2019,44.0
1033,Ringebu (-2019),Private rooms (number),2019,44.0
1034,Ringebu (-2019),Rooms for two or more (number),2019,0.0
1035,Ringebu (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,44.0
1036,Ringebu (-2019),Share of single rooms (per cent),2019,100.0
1037,Ringebu (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1038,Øyer (-2019),"Rooms, total (number)",2019,66.0
1039,Øyer (-2019),Private rooms (number),2019,66.0
1040,Øyer (-2019),Rooms for two or more (number),2019,0.0
1041,Øyer (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,66.0
1042,Øyer (-2019),Share of single rooms (per cent),2019,100.0
1043,Øyer (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1044,Gausdal (-2019),"Rooms, total (number)",2019,68.0
1045,Gausdal (-2019),Private rooms (number),2019,68.0
1046,Gausdal (-2019),Rooms for two or more (number),2019,0.0
1047,Gausdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,68.0
1048,Gausdal (-2019),Share of single rooms (per cent),2019,100.0
1049,Gausdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1050,Østre Toten (-2019),"Rooms, total (number)",2019,86.0
1051,Østre Toten (-2019),Private rooms (number),2019,85.0
1052,Østre Toten (-2019),Rooms for two or more (number),2019,1.0
1053,Østre Toten (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,85.0
1054,Østre Toten (-2019),Share of single rooms (per cent),2019,98.8
1055,Østre Toten (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,98.8
1056,Vestre Toten (-2019),"Rooms, total (number)",2019,50.0
1057,Vestre Toten (-2019),Private rooms (number),2019,50.0
1058,Vestre Toten (-2019),Rooms for two or more (number),2019,0.0
1059,Vestre Toten (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,25.0
1060,Vestre Toten (-2019),Share of single rooms (per cent),2019,100.0
1061,Vestre Toten (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,50.0
1062,Jevnaker (-2019),"Rooms, total (number)",2019,80.0
1063,Jevnaker (-2019),Private rooms (number),2019,80.0
1064,Jevnaker (-2019),Rooms for two or more (number),2019,0.0
1065,Jevnaker (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,80.0
1066,Jevnaker (-2019),Share of single rooms (per cent),2019,100.0
1067,Jevnaker (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1068,Lunner (-2019),"Rooms, total (number)",2019,54.0
1069,Lunner (-2019),Private rooms (number),2019,54.0
1070,Lunner (-2019),Rooms for two or more (number),2019,0.0
1071,Lunner (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,40.0
1072,Lunner (-2019),Share of single rooms (per cent),2019,100.0
1073,Lunner (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,74.1
1074,Gran (-2019),"Rooms, total (number)",2019,162.0
1075,Gran (-2019),Private rooms (number),2019,158.0
1076,Gran (-2019),Rooms for two or more (number),2019,4.0
1077,Gran (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,122.0
1078,Gran (-2019),Share of single rooms (per cent),2019,97.5
1079,Gran (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,75.3
1080,Søndre Land (-2019),"Rooms, total (number)",2019,51.0
1081,Søndre Land (-2019),Private rooms (number),2019,50.0
1082,Søndre Land (-2019),Rooms for two or more (number),2019,1.0
1083,Søndre Land (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,0.0
1084,Søndre Land (-2019),Share of single rooms (per cent),2019,98.0
1085,Søndre Land (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,0.0
1086,Nordre Land (-2019),"Rooms, total (number)",2019,90.0
1087,Nordre Land (-2019),Private rooms (number),2019,89.0
1088,Nordre Land (-2019),Rooms for two or more (number),2019,1.0
1089,Nordre Land (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,73.0
1090,Nordre Land (-2019),Share of single rooms (per cent),2019,98.9
1091,Nordre Land (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,81.1
1092,Sør-Aurdal (-2019),"Rooms, total (number)",2019,49.0
1093,Sør-Aurdal (-2019),Private rooms (number),2019,49.0
1094,Sør-Aurdal (-2019),Rooms for two or more (number),2019,0.0
1095,Sør-Aurdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,49.0
1096,Sør-Aurdal (-2019),Share of single rooms (per cent),2019,100.0
1097,Sør-Aurdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1098,Etnedal (-2019),"Rooms, total (number)",2019,22.0
1099,Etnedal (-2019),Private rooms (number),2019,22.0
1100,Etnedal (-2019),Rooms for two or more (number),2019,0.0
1101,Etnedal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,21.0
1102,Etnedal (-2019),Share of single rooms (per cent),2019,100.0
1103,Etnedal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,95.5
1104,Nord-Aurdal (-2019),"Rooms, total (number)",2019,51.0
1105,Nord-Aurdal (-2019),Private rooms (number),2019,51.0
1106,Nord-Aurdal (-2019),Rooms for two or more (number),2019,0.0
1107,Nord-Aurdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,51.0
1108,Nord-Aurdal (-2019),Share of single rooms (per cent),2019,100.0
1109,Nord-Aurdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1110,Vestre Slidre (-2019),"Rooms, total (number)",2019,20.0
1111,Vestre Slidre (-2019),Private rooms (number),2019,20.0
1112,Vestre Slidre (-2019),Rooms for two or more (number),2019,0.0
1113,Vestre Slidre (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,2.0
1114,Vestre Slidre (-2019),Share of single rooms (per cent),2019,100.0
1115,Vestre Slidre (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,10.0
1116,Øystre Slidre (-2019),"Rooms, total (number)",2019,40.0
1117,Øystre Slidre (-2019),Private rooms (number),2019,40.0
1118,Øystre Slidre (-2019),Rooms for two or more (number),2019,0.0
1119,Øystre Slidre (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,36.0
1120,Øystre Slidre (-2019),Share of single rooms (per cent),2019,100.0
1121,Øystre Slidre (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,90.0
1122,Vang (-2019),"Rooms, total (number)",2019,34.0
1123,Vang (-2019),Private rooms (number),2019,34.0
1124,Vang (-2019),Rooms for two or more (number),2019,0.0
1125,Vang (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,34.0
1126,Vang (-2019),Share of single rooms (per cent),2019,100.0
1127,Vang (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1128,Drammen (-2019),"Rooms, total (number)",2019,456.0
1129,Drammen (-2019),Private rooms (number),2019,432.0
1130,Drammen (-2019),Rooms for two or more (number),2019,24.0
1131,Drammen (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,430.0
1132,Drammen (-2019),Share of single rooms (per cent),2019,94.7
1133,Drammen (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,94.3
1134,Kongsberg (-2019),"Rooms, total (number)",2019,187.0
1135,Kongsberg (-2019),Private rooms (number),2019,187.0
1136,Kongsberg (-2019),Rooms for two or more (number),2019,0.0
1137,Kongsberg (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,184.0
1138,Kongsberg (-2019),Share of single rooms (per cent),2019,100.0
1139,Kongsberg (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,98.4
1140,Ringerike (-2019),"Rooms, total (number)",2019,180.0
1141,Ringerike (-2019),Private rooms (number),2019,180.0
1142,Ringerike (-2019),Rooms for two or more (number),2019,0.0
1143,Ringerike (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,166.0
1144,Ringerike (-2019),Share of single rooms (per cent),2019,100.0
1145,Ringerike (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,92.2
1146,Hole (-2019),"Rooms, total (number)",2019,38.0
1147,Hole (-2019),Private rooms (number),2019,38.0
1148,Hole (-2019),Rooms for two or more (number),2019,0.0
1149,Hole (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,38.0
1150,Hole (-2019),Share of single rooms (per cent),2019,100.0
1151,Hole (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1152,Flå (-2019),"Rooms, total (number)",2019,15.0
1153,Flå (-2019),Private rooms (number),2019,15.0
1154,Flå (-2019),Rooms for two or more (number),2019,0.0
1155,Flå (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,15.0
1156,Flå (-2019),Share of single rooms (per cent),2019,100.0
1157,Flå (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1158,Nes (Buskerud) (-2019),"Rooms, total (number)",2019,13.0
1159,Nes (Buskerud) (-2019),Private rooms (number),2019,13.0
1160,Nes (Buskerud) (-2019),Rooms for two or more (number),2019,0.0
1161,Nes (Buskerud) (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,13.0
1162,Nes (Buskerud) (-2019),Share of single rooms (per cent),2019,100.0
1163,Nes (Buskerud) (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1164,Gol (-2019),"Rooms, total (number)",2019,32.0
1165,Gol (-2019),Private rooms (number),2019,32.0
1166,Gol (-2019),Rooms for two or more (number),2019,0.0
1167,Gol (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,32.0
1168,Gol (-2019),Share of single rooms (per cent),2019,100.0
1169,Gol (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1170,Hemsedal (-2019),"Rooms, total (number)",2019,22.0
1171,Hemsedal (-2019),Private rooms (number),2019,21.0
1172,Hemsedal (-2019),Rooms for two or more (number),2019,1.0
1173,Hemsedal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,21.0
1174,Hemsedal (-2019),Share of single rooms (per cent),2019,95.5
1175,Hemsedal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,95.5
1176,Ål (-2019),"Rooms, total (number)",2019,57.0
1177,Ål (-2019),Private rooms (number),2019,57.0
1178,Ål (-2019),Rooms for two or more (number),2019,0.0
1179,Ål (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,57.0
1180,Ål (-2019),Share of single rooms (per cent),2019,100.0
1181,Ål (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1182,Hol (-2019),"Rooms, total (number)",2019,41.0
1183,Hol (-2019),Private rooms (number),2019,40.0
1184,Hol (-2019),Rooms for two or more (number),2019,1.0
1185,Hol (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,40.0
1186,Hol (-2019),Share of single rooms (per cent),2019,97.6
1187,Hol (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,97.6
1188,Sigdal (-2019),"Rooms, total (number)",2019,48.0
1189,Sigdal (-2019),Private rooms (number),2019,48.0
1190,Sigdal (-2019),Rooms for two or more (number),2019,0.0
1191,Sigdal (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,48.0
1192,Sigdal (-2019),Share of single rooms (per cent),2019,100.0
1193,Sigdal (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1194,Krødsherad (-2019),"Rooms, total (number)",2019,15.0
1195,Krødsherad (-2019),Private rooms (number),2019,5.0
1196,Krødsherad (-2019),Rooms for two or more (number),2019,10.0
1197,Krødsherad (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,0.0
1198,Krødsherad (-2019),Share of single rooms (per cent),2019,33.3
1199,Krødsherad (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,0.0
1200,Modum (-2019),"Rooms, total (number)",2019,112.0
1201,Modum (-2019),Private rooms (number),2019,112.0
1202,Modum (-2019),Rooms for two or more (number),2019,0.0
1203,Modum (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,112.0
1204,Modum (-2019),Share of single rooms (per cent),2019,100.0
1205,Modum (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1206,Øvre Eiker (-2019),"Rooms, total (number)",2019,148.0
1207,Øvre Eiker (-2019),Private rooms (number),2019,148.0
1208,Øvre Eiker (-2019),Rooms for two or more (number),2019,0.0
1209,Øvre Eiker (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,129.0
1210,Øvre Eiker (-2019),Share of single rooms (per cent),2019,100.0
1211,Øvre Eiker (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,87.2
1212,Nedre Eiker (-2019),"Rooms, total (number)",2019,95.0
1213,Nedre Eiker (-2019),Private rooms (number),2019,93.0
1214,Nedre Eiker (-2019),Rooms for two or more (number),2019,2.0
1215,Nedre Eiker (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,93.0
1216,Nedre Eiker (-2019),Share of single rooms (per cent),2019,97.9
1217,Nedre Eiker (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,97.9
1218,Lier (-2019),"Rooms, total (number)",2019,149.0
1219,Lier (-2019),Private rooms (number),2019,147.0
1220,Lier (-2019),Rooms for two or more (number),2019,2.0
1221,Lier (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,105.0
1222,Lier (-2019),Share of single rooms (per cent),2019,98.7
1223,Lier (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,70.5
1224,Røyken (-2019),"Rooms, total (number)",2019,200.0
1225,Røyken (-2019),Private rooms (number),2019,200.0
1226,Røyken (-2019),Rooms for two or more (number),2019,0.0
1227,Røyken (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,200.0
1228,Røyken (-2019),Share of single rooms (per cent),2019,100.0
1229,Røyken (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1230,Hurum (-2019),"Rooms, total (number)",2019,30.0
1231,Hurum (-2019),Private rooms (number),2019,28.0
1232,Hurum (-2019),Rooms for two or more (number),2019,2.0
1233,Hurum (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,22.0
1234,Hurum (-2019),Share of single rooms (per cent),2019,93.3
1235,Hurum (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,73.3
1236,Flesberg (-2019),"Rooms, total (number)",2019,24.0
1237,Flesberg (-2019),Private rooms (number),2019,24.0
1238,Flesberg (-2019),Rooms for two or more (number),2019,0.0
1239,Flesberg (-2019),User adapted private rooms including bathroom/WC in nursing homes or homes for the elderly (number),2019,24.0
1240,Flesberg (-2019),Share of single rooms (per cent),2019,100.0
1241,Flesberg (-2019),Share of user adapted single rooms including bathroom/WC in institutions (per cent),2019,100.0
1242,Rollag (-2019),"Rooms, total (number)",2019,22.0
1243,Rollag (-2019),Private rooms (number),2019,22.0
1244,Rollag (-2019),Rooms for two or more (number),2019,0.0
