,region,holding sector,number of employees,contents,year,value
3333,Folldal (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,1
3334,Folldal (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,1
3335,Folldal (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,1
3336,Folldal (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3337,Folldal (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3338,Folldal (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3339,Folldal (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3340,Folldal (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3341,Folldal (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3342,Folldal (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3343,Folldal (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3344,Folldal (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3345,Folldal (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3346,Folldal (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3347,Folldal (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3348,Os (Hedmark) (1976-2019),Sum all sectors,All size groups,Establishments,2019,367
3349,Os (Hedmark) (1976-2019),Sum all sectors,No one employeed,Establishments,2019,280
3350,Os (Hedmark) (1976-2019),Sum all sectors,1-4 employees,Establishments,2019,44
3351,Os (Hedmark) (1976-2019),Sum all sectors,5-9 employees,Establishments,2019,21
3352,Os (Hedmark) (1976-2019),Sum all sectors,10-19 employees,Establishments,2019,13
3353,Os (Hedmark) (1976-2019),Sum all sectors,20-49 employees,Establishments,2019,7
3354,Os (Hedmark) (1976-2019),Sum all sectors,50-99 employees,Establishments,2019,2
3355,Os (Hedmark) (1976-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
3356,Os (Hedmark) (1976-2019),Sum all sectors,250 employees and more,Establishments,2019,0
3357,Os (Hedmark) (1976-2019),General government,All size groups,Establishments,2019,36
3358,Os (Hedmark) (1976-2019),General government,No one employeed,Establishments,2019,7
3359,Os (Hedmark) (1976-2019),General government,1-4 employees,Establishments,2019,11
3360,Os (Hedmark) (1976-2019),General government,5-9 employees,Establishments,2019,9
3361,Os (Hedmark) (1976-2019),General government,10-19 employees,Establishments,2019,5
3362,Os (Hedmark) (1976-2019),General government,20-49 employees,Establishments,2019,2
3363,Os (Hedmark) (1976-2019),General government,50-99 employees,Establishments,2019,2
3364,Os (Hedmark) (1976-2019),General government,100 - 249 employees,Establishments,2019,0
3365,Os (Hedmark) (1976-2019),General government,250 employees and more,Establishments,2019,0
3366,Os (Hedmark) (1976-2019),Financial corporations,All size groups,Establishments,2019,2
3367,Os (Hedmark) (1976-2019),Financial corporations,No one employeed,Establishments,2019,1
3368,Os (Hedmark) (1976-2019),Financial corporations,1-4 employees,Establishments,2019,0
3369,Os (Hedmark) (1976-2019),Financial corporations,5-9 employees,Establishments,2019,1
3370,Os (Hedmark) (1976-2019),Financial corporations,10-19 employees,Establishments,2019,0
3371,Os (Hedmark) (1976-2019),Financial corporations,20-49 employees,Establishments,2019,0
3372,Os (Hedmark) (1976-2019),Financial corporations,50-99 employees,Establishments,2019,0
3373,Os (Hedmark) (1976-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
3374,Os (Hedmark) (1976-2019),Financial corporations,250 employees and more,Establishments,2019,0
3375,Os (Hedmark) (1976-2019),Non-financial corporations,All size groups,Establishments,2019,105
3376,Os (Hedmark) (1976-2019),Non-financial corporations,No one employeed,Establishments,2019,63
3377,Os (Hedmark) (1976-2019),Non-financial corporations,1-4 employees,Establishments,2019,19
3378,Os (Hedmark) (1976-2019),Non-financial corporations,5-9 employees,Establishments,2019,10
3379,Os (Hedmark) (1976-2019),Non-financial corporations,10-19 employees,Establishments,2019,8
3380,Os (Hedmark) (1976-2019),Non-financial corporations,20-49 employees,Establishments,2019,5
3381,Os (Hedmark) (1976-2019),Non-financial corporations,50-99 employees,Establishments,2019,0
3382,Os (Hedmark) (1976-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
3383,Os (Hedmark) (1976-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3384,Os (Hedmark) (1976-2019),Households and non-profit institutions,All size groups,Establishments,2019,223
3385,Os (Hedmark) (1976-2019),Households and non-profit institutions,No one employeed,Establishments,2019,208
3386,Os (Hedmark) (1976-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,14
3387,Os (Hedmark) (1976-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,1
3388,Os (Hedmark) (1976-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
3389,Os (Hedmark) (1976-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
3390,Os (Hedmark) (1976-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3391,Os (Hedmark) (1976-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3392,Os (Hedmark) (1976-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3393,Os (Hedmark) (1976-2019),Unspecified sector/others,All size groups,Establishments,2019,1
3394,Os (Hedmark) (1976-2019),Unspecified sector/others,No one employeed,Establishments,2019,1
3395,Os (Hedmark) (1976-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3396,Os (Hedmark) (1976-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3397,Os (Hedmark) (1976-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3398,Os (Hedmark) (1976-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3399,Os (Hedmark) (1976-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3400,Os (Hedmark) (1976-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3401,Os (Hedmark) (1976-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3402,Lillehammer (-2019),Sum all sectors,All size groups,Establishments,2019,2892
3403,Lillehammer (-2019),Sum all sectors,No one employeed,Establishments,2019,1776
3404,Lillehammer (-2019),Sum all sectors,1-4 employees,Establishments,2019,474
3405,Lillehammer (-2019),Sum all sectors,5-9 employees,Establishments,2019,243
3406,Lillehammer (-2019),Sum all sectors,10-19 employees,Establishments,2019,179
3407,Lillehammer (-2019),Sum all sectors,20-49 employees,Establishments,2019,154
3408,Lillehammer (-2019),Sum all sectors,50-99 employees,Establishments,2019,39
3409,Lillehammer (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,22
3410,Lillehammer (-2019),Sum all sectors,250 employees and more,Establishments,2019,5
3411,Lillehammer (-2019),General government,All size groups,Establishments,2019,158
3412,Lillehammer (-2019),General government,No one employeed,Establishments,2019,9
3413,Lillehammer (-2019),General government,1-4 employees,Establishments,2019,11
3414,Lillehammer (-2019),General government,5-9 employees,Establishments,2019,16
3415,Lillehammer (-2019),General government,10-19 employees,Establishments,2019,27
3416,Lillehammer (-2019),General government,20-49 employees,Establishments,2019,60
3417,Lillehammer (-2019),General government,50-99 employees,Establishments,2019,17
3418,Lillehammer (-2019),General government,100 - 249 employees,Establishments,2019,13
3419,Lillehammer (-2019),General government,250 employees and more,Establishments,2019,5
3420,Lillehammer (-2019),Financial corporations,All size groups,Establishments,2019,17
3421,Lillehammer (-2019),Financial corporations,No one employeed,Establishments,2019,8
3422,Lillehammer (-2019),Financial corporations,1-4 employees,Establishments,2019,1
3423,Lillehammer (-2019),Financial corporations,5-9 employees,Establishments,2019,3
3424,Lillehammer (-2019),Financial corporations,10-19 employees,Establishments,2019,4
3425,Lillehammer (-2019),Financial corporations,20-49 employees,Establishments,2019,1
3426,Lillehammer (-2019),Financial corporations,50-99 employees,Establishments,2019,0
3427,Lillehammer (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
3428,Lillehammer (-2019),Financial corporations,250 employees and more,Establishments,2019,0
3429,Lillehammer (-2019),Non-financial corporations,All size groups,Establishments,2019,1428
3430,Lillehammer (-2019),Non-financial corporations,No one employeed,Establishments,2019,576
3431,Lillehammer (-2019),Non-financial corporations,1-4 employees,Establishments,2019,390
3432,Lillehammer (-2019),Non-financial corporations,5-9 employees,Establishments,2019,203
3433,Lillehammer (-2019),Non-financial corporations,10-19 employees,Establishments,2019,139
3434,Lillehammer (-2019),Non-financial corporations,20-49 employees,Establishments,2019,90
3435,Lillehammer (-2019),Non-financial corporations,50-99 employees,Establishments,2019,22
3436,Lillehammer (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,8
3437,Lillehammer (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3438,Lillehammer (-2019),Households and non-profit institutions,All size groups,Establishments,2019,1289
3439,Lillehammer (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,1183
3440,Lillehammer (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,72
3441,Lillehammer (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,21
3442,Lillehammer (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,9
3443,Lillehammer (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,3
3444,Lillehammer (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3445,Lillehammer (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,1
3446,Lillehammer (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3447,Lillehammer (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3448,Lillehammer (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3449,Lillehammer (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3450,Lillehammer (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3451,Lillehammer (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3452,Lillehammer (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3453,Lillehammer (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3454,Lillehammer (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3455,Lillehammer (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3456,Gjøvik (-2019),Sum all sectors,All size groups,Establishments,2019,3277
3457,Gjøvik (-2019),Sum all sectors,No one employeed,Establishments,2019,2102
3458,Gjøvik (-2019),Sum all sectors,1-4 employees,Establishments,2019,469
3459,Gjøvik (-2019),Sum all sectors,5-9 employees,Establishments,2019,269
3460,Gjøvik (-2019),Sum all sectors,10-19 employees,Establishments,2019,223
3461,Gjøvik (-2019),Sum all sectors,20-49 employees,Establishments,2019,144
3462,Gjøvik (-2019),Sum all sectors,50-99 employees,Establishments,2019,47
3463,Gjøvik (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,21
3464,Gjøvik (-2019),Sum all sectors,250 employees and more,Establishments,2019,2
3465,Gjøvik (-2019),General government,All size groups,Establishments,2019,191
3466,Gjøvik (-2019),General government,No one employeed,Establishments,2019,13
3467,Gjøvik (-2019),General government,1-4 employees,Establishments,2019,26
3468,Gjøvik (-2019),General government,5-9 employees,Establishments,2019,29
3469,Gjøvik (-2019),General government,10-19 employees,Establishments,2019,40
3470,Gjøvik (-2019),General government,20-49 employees,Establishments,2019,47
3471,Gjøvik (-2019),General government,50-99 employees,Establishments,2019,27
3472,Gjøvik (-2019),General government,100 - 249 employees,Establishments,2019,7
3473,Gjøvik (-2019),General government,250 employees and more,Establishments,2019,2
3474,Gjøvik (-2019),Financial corporations,All size groups,Establishments,2019,22
3475,Gjøvik (-2019),Financial corporations,No one employeed,Establishments,2019,9
3476,Gjøvik (-2019),Financial corporations,1-4 employees,Establishments,2019,5
3477,Gjøvik (-2019),Financial corporations,5-9 employees,Establishments,2019,1
3478,Gjøvik (-2019),Financial corporations,10-19 employees,Establishments,2019,4
3479,Gjøvik (-2019),Financial corporations,20-49 employees,Establishments,2019,1
3480,Gjøvik (-2019),Financial corporations,50-99 employees,Establishments,2019,0
3481,Gjøvik (-2019),Financial corporations,100 - 249 employees,Establishments,2019,2
3482,Gjøvik (-2019),Financial corporations,250 employees and more,Establishments,2019,0
3483,Gjøvik (-2019),Non-financial corporations,All size groups,Establishments,2019,1566
3484,Gjøvik (-2019),Non-financial corporations,No one employeed,Establishments,2019,711
3485,Gjøvik (-2019),Non-financial corporations,1-4 employees,Establishments,2019,348
3486,Gjøvik (-2019),Non-financial corporations,5-9 employees,Establishments,2019,220
3487,Gjøvik (-2019),Non-financial corporations,10-19 employees,Establishments,2019,165
3488,Gjøvik (-2019),Non-financial corporations,20-49 employees,Establishments,2019,90
3489,Gjøvik (-2019),Non-financial corporations,50-99 employees,Establishments,2019,20
3490,Gjøvik (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,12
3491,Gjøvik (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3492,Gjøvik (-2019),Households and non-profit institutions,All size groups,Establishments,2019,1498
3493,Gjøvik (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,1369
3494,Gjøvik (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,90
3495,Gjøvik (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,19
3496,Gjøvik (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,14
3497,Gjøvik (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,6
3498,Gjøvik (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3499,Gjøvik (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3500,Gjøvik (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3501,Gjøvik (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3502,Gjøvik (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3503,Gjøvik (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3504,Gjøvik (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3505,Gjøvik (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3506,Gjøvik (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3507,Gjøvik (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3508,Gjøvik (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3509,Gjøvik (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3510,Dovre (-2019),Sum all sectors,All size groups,Establishments,2019,466
3511,Dovre (-2019),Sum all sectors,No one employeed,Establishments,2019,294
3512,Dovre (-2019),Sum all sectors,1-4 employees,Establishments,2019,85
3513,Dovre (-2019),Sum all sectors,5-9 employees,Establishments,2019,40
3514,Dovre (-2019),Sum all sectors,10-19 employees,Establishments,2019,29
3515,Dovre (-2019),Sum all sectors,20-49 employees,Establishments,2019,16
3516,Dovre (-2019),Sum all sectors,50-99 employees,Establishments,2019,2
3517,Dovre (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
3518,Dovre (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
3519,Dovre (-2019),General government,All size groups,Establishments,2019,43
3520,Dovre (-2019),General government,No one employeed,Establishments,2019,3
3521,Dovre (-2019),General government,1-4 employees,Establishments,2019,13
3522,Dovre (-2019),General government,5-9 employees,Establishments,2019,10
3523,Dovre (-2019),General government,10-19 employees,Establishments,2019,7
3524,Dovre (-2019),General government,20-49 employees,Establishments,2019,9
3525,Dovre (-2019),General government,50-99 employees,Establishments,2019,1
3526,Dovre (-2019),General government,100 - 249 employees,Establishments,2019,0
3527,Dovre (-2019),General government,250 employees and more,Establishments,2019,0
3528,Dovre (-2019),Financial corporations,All size groups,Establishments,2019,2
3529,Dovre (-2019),Financial corporations,No one employeed,Establishments,2019,1
3530,Dovre (-2019),Financial corporations,1-4 employees,Establishments,2019,0
3531,Dovre (-2019),Financial corporations,5-9 employees,Establishments,2019,1
3532,Dovre (-2019),Financial corporations,10-19 employees,Establishments,2019,0
3533,Dovre (-2019),Financial corporations,20-49 employees,Establishments,2019,0
3534,Dovre (-2019),Financial corporations,50-99 employees,Establishments,2019,0
3535,Dovre (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
3536,Dovre (-2019),Financial corporations,250 employees and more,Establishments,2019,0
3537,Dovre (-2019),Non-financial corporations,All size groups,Establishments,2019,174
3538,Dovre (-2019),Non-financial corporations,No one employeed,Establishments,2019,65
3539,Dovre (-2019),Non-financial corporations,1-4 employees,Establishments,2019,51
3540,Dovre (-2019),Non-financial corporations,5-9 employees,Establishments,2019,28
3541,Dovre (-2019),Non-financial corporations,10-19 employees,Establishments,2019,22
3542,Dovre (-2019),Non-financial corporations,20-49 employees,Establishments,2019,7
3543,Dovre (-2019),Non-financial corporations,50-99 employees,Establishments,2019,1
3544,Dovre (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
3545,Dovre (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3546,Dovre (-2019),Households and non-profit institutions,All size groups,Establishments,2019,247
3547,Dovre (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,225
3548,Dovre (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,21
3549,Dovre (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,1
3550,Dovre (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
3551,Dovre (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
3552,Dovre (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3553,Dovre (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3554,Dovre (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3555,Dovre (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3556,Dovre (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3557,Dovre (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3558,Dovre (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3559,Dovre (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3560,Dovre (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3561,Dovre (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3562,Dovre (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3563,Dovre (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3564,Lesja (-2019),Sum all sectors,All size groups,Establishments,2019,439
3565,Lesja (-2019),Sum all sectors,No one employeed,Establishments,2019,327
3566,Lesja (-2019),Sum all sectors,1-4 employees,Establishments,2019,67
3567,Lesja (-2019),Sum all sectors,5-9 employees,Establishments,2019,21
3568,Lesja (-2019),Sum all sectors,10-19 employees,Establishments,2019,14
3569,Lesja (-2019),Sum all sectors,20-49 employees,Establishments,2019,9
3570,Lesja (-2019),Sum all sectors,50-99 employees,Establishments,2019,1
3571,Lesja (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
3572,Lesja (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
3573,Lesja (-2019),General government,All size groups,Establishments,2019,33
3574,Lesja (-2019),General government,No one employeed,Establishments,2019,3
3575,Lesja (-2019),General government,1-4 employees,Establishments,2019,10
3576,Lesja (-2019),General government,5-9 employees,Establishments,2019,9
3577,Lesja (-2019),General government,10-19 employees,Establishments,2019,3
3578,Lesja (-2019),General government,20-49 employees,Establishments,2019,7
3579,Lesja (-2019),General government,50-99 employees,Establishments,2019,1
3580,Lesja (-2019),General government,100 - 249 employees,Establishments,2019,0
3581,Lesja (-2019),General government,250 employees and more,Establishments,2019,0
3582,Lesja (-2019),Financial corporations,All size groups,Establishments,2019,1
3583,Lesja (-2019),Financial corporations,No one employeed,Establishments,2019,1
3584,Lesja (-2019),Financial corporations,1-4 employees,Establishments,2019,0
3585,Lesja (-2019),Financial corporations,5-9 employees,Establishments,2019,0
3586,Lesja (-2019),Financial corporations,10-19 employees,Establishments,2019,0
3587,Lesja (-2019),Financial corporations,20-49 employees,Establishments,2019,0
3588,Lesja (-2019),Financial corporations,50-99 employees,Establishments,2019,0
3589,Lesja (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
3590,Lesja (-2019),Financial corporations,250 employees and more,Establishments,2019,0
3591,Lesja (-2019),Non-financial corporations,All size groups,Establishments,2019,119
3592,Lesja (-2019),Non-financial corporations,No one employeed,Establishments,2019,62
3593,Lesja (-2019),Non-financial corporations,1-4 employees,Establishments,2019,34
3594,Lesja (-2019),Non-financial corporations,5-9 employees,Establishments,2019,10
3595,Lesja (-2019),Non-financial corporations,10-19 employees,Establishments,2019,11
3596,Lesja (-2019),Non-financial corporations,20-49 employees,Establishments,2019,2
3597,Lesja (-2019),Non-financial corporations,50-99 employees,Establishments,2019,0
3598,Lesja (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
3599,Lesja (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3600,Lesja (-2019),Households and non-profit institutions,All size groups,Establishments,2019,286
3601,Lesja (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,261
3602,Lesja (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,23
3603,Lesja (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,2
3604,Lesja (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
3605,Lesja (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
3606,Lesja (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3607,Lesja (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3608,Lesja (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3609,Lesja (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3610,Lesja (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3611,Lesja (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3612,Lesja (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3613,Lesja (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3614,Lesja (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3615,Lesja (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3616,Lesja (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3617,Lesja (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3618,Skjåk (-2019),Sum all sectors,All size groups,Establishments,2019,436
3619,Skjåk (-2019),Sum all sectors,No one employeed,Establishments,2019,290
3620,Skjåk (-2019),Sum all sectors,1-4 employees,Establishments,2019,84
3621,Skjåk (-2019),Sum all sectors,5-9 employees,Establishments,2019,33
3622,Skjåk (-2019),Sum all sectors,10-19 employees,Establishments,2019,20
3623,Skjåk (-2019),Sum all sectors,20-49 employees,Establishments,2019,5
3624,Skjåk (-2019),Sum all sectors,50-99 employees,Establishments,2019,4
3625,Skjåk (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
3626,Skjåk (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
3627,Skjåk (-2019),General government,All size groups,Establishments,2019,37
3628,Skjåk (-2019),General government,No one employeed,Establishments,2019,2
3629,Skjåk (-2019),General government,1-4 employees,Establishments,2019,13
3630,Skjåk (-2019),General government,5-9 employees,Establishments,2019,9
3631,Skjåk (-2019),General government,10-19 employees,Establishments,2019,7
3632,Skjåk (-2019),General government,20-49 employees,Establishments,2019,3
3633,Skjåk (-2019),General government,50-99 employees,Establishments,2019,3
3634,Skjåk (-2019),General government,100 - 249 employees,Establishments,2019,0
3635,Skjåk (-2019),General government,250 employees and more,Establishments,2019,0
3636,Skjåk (-2019),Financial corporations,All size groups,Establishments,2019,2
3637,Skjåk (-2019),Financial corporations,No one employeed,Establishments,2019,1
3638,Skjåk (-2019),Financial corporations,1-4 employees,Establishments,2019,0
3639,Skjåk (-2019),Financial corporations,5-9 employees,Establishments,2019,0
3640,Skjåk (-2019),Financial corporations,10-19 employees,Establishments,2019,1
3641,Skjåk (-2019),Financial corporations,20-49 employees,Establishments,2019,0
3642,Skjåk (-2019),Financial corporations,50-99 employees,Establishments,2019,0
3643,Skjåk (-2019),Financial corporations,100 - 249 employees,Establishments,2019,0
3644,Skjåk (-2019),Financial corporations,250 employees and more,Establishments,2019,0
3645,Skjåk (-2019),Non-financial corporations,All size groups,Establishments,2019,132
3646,Skjåk (-2019),Non-financial corporations,No one employeed,Establishments,2019,51
3647,Skjåk (-2019),Non-financial corporations,1-4 employees,Establishments,2019,44
3648,Skjåk (-2019),Non-financial corporations,5-9 employees,Establishments,2019,22
3649,Skjåk (-2019),Non-financial corporations,10-19 employees,Establishments,2019,12
3650,Skjåk (-2019),Non-financial corporations,20-49 employees,Establishments,2019,2
3651,Skjåk (-2019),Non-financial corporations,50-99 employees,Establishments,2019,1
3652,Skjåk (-2019),Non-financial corporations,100 - 249 employees,Establishments,2019,0
3653,Skjåk (-2019),Non-financial corporations,250 employees and more,Establishments,2019,0
3654,Skjåk (-2019),Households and non-profit institutions,All size groups,Establishments,2019,265
3655,Skjåk (-2019),Households and non-profit institutions,No one employeed,Establishments,2019,236
3656,Skjåk (-2019),Households and non-profit institutions,1-4 employees,Establishments,2019,27
3657,Skjåk (-2019),Households and non-profit institutions,5-9 employees,Establishments,2019,2
3658,Skjåk (-2019),Households and non-profit institutions,10-19 employees,Establishments,2019,0
3659,Skjåk (-2019),Households and non-profit institutions,20-49 employees,Establishments,2019,0
3660,Skjåk (-2019),Households and non-profit institutions,50-99 employees,Establishments,2019,0
3661,Skjåk (-2019),Households and non-profit institutions,100 - 249 employees,Establishments,2019,0
3662,Skjåk (-2019),Households and non-profit institutions,250 employees and more,Establishments,2019,0
3663,Skjåk (-2019),Unspecified sector/others,All size groups,Establishments,2019,0
3664,Skjåk (-2019),Unspecified sector/others,No one employeed,Establishments,2019,0
3665,Skjåk (-2019),Unspecified sector/others,1-4 employees,Establishments,2019,0
3666,Skjåk (-2019),Unspecified sector/others,5-9 employees,Establishments,2019,0
3667,Skjåk (-2019),Unspecified sector/others,10-19 employees,Establishments,2019,0
3668,Skjåk (-2019),Unspecified sector/others,20-49 employees,Establishments,2019,0
3669,Skjåk (-2019),Unspecified sector/others,50-99 employees,Establishments,2019,0
3670,Skjåk (-2019),Unspecified sector/others,100 - 249 employees,Establishments,2019,0
3671,Skjåk (-2019),Unspecified sector/others,250 employees and more,Establishments,2019,0
3672,Lom (-2019),Sum all sectors,All size groups,Establishments,2019,465
3673,Lom (-2019),Sum all sectors,No one employeed,Establishments,2019,332
3674,Lom (-2019),Sum all sectors,1-4 employees,Establishments,2019,74
3675,Lom (-2019),Sum all sectors,5-9 employees,Establishments,2019,28
3676,Lom (-2019),Sum all sectors,10-19 employees,Establishments,2019,17
3677,Lom (-2019),Sum all sectors,20-49 employees,Establishments,2019,12
3678,Lom (-2019),Sum all sectors,50-99 employees,Establishments,2019,2
3679,Lom (-2019),Sum all sectors,100 - 249 employees,Establishments,2019,0
3680,Lom (-2019),Sum all sectors,250 employees and more,Establishments,2019,0
3681,Lom (-2019),General government,All size groups,Establishments,2019,32
3682,Lom (-2019),General government,No one employeed,Establishments,2019,5
3683,Lom (-2019),General government,1-4 employees,Establishments,2019,11
3684,Lom (-2019),General government,5-9 employees,Establishments,2019,5
3685,Lom (-2019),General government,10-19 employees,Establishments,2019,5
3686,Lom (-2019),General government,20-49 employees,Establishments,2019,4
3687,Lom (-2019),General government,50-99 employees,Establishments,2019,2
3688,Lom (-2019),General government,100 - 249 employees,Establishments,2019,0
3689,Lom (-2019),General government,250 employees and more,Establishments,2019,0
3690,Lom (-2019),Financial corporations,All size groups,Establishments,2019,2
3691,Lom (-2019),Financial corporations,No one employeed,Establishments,2019,1
3692,Lom (-2019),Financial corporations,1-4 employees,Establishments,2019,0
3693,Lom (-2019),Financial corporations,5-9 employees,Establishments,2019,0
3694,Lom (-2019),Financial corporations,10-19 employees,Establishments,2019,0
