,region,size of household,contents,year,value
782,Jevnaker (-2019),2 persons,Persons in private households,2019,31.6
783,Jevnaker (-2019),2 persons,Private households,2019,34.6
784,Jevnaker (-2019),3 persons,Persons in private households,2019,17.9
785,Jevnaker (-2019),3 persons,Private households,2019,13.1
786,Jevnaker (-2019),4 persons,Persons in private households,2019,21.9
787,Jevnaker (-2019),4 persons,Private households,2019,12.0
788,Jevnaker (-2019),5 persons or more,Persons in private households,2019,12.5
789,Jevnaker (-2019),5 persons or more,Private households,2019,5.2
790,Lunner (-2019),1 person,Persons in private households,2019,15.1
791,Lunner (-2019),1 person,Private households,2019,33.9
792,Lunner (-2019),2 persons,Persons in private households,2019,29.8
793,Lunner (-2019),2 persons,Private households,2019,33.4
794,Lunner (-2019),3 persons,Persons in private households,2019,18.5
795,Lunner (-2019),3 persons,Private households,2019,13.8
796,Lunner (-2019),4 persons,Persons in private households,2019,23.9
797,Lunner (-2019),4 persons,Private households,2019,13.4
798,Lunner (-2019),5 persons or more,Persons in private households,2019,12.7
799,Lunner (-2019),5 persons or more,Private households,2019,5.4
800,Gran (-2019),1 person,Persons in private households,2019,17.3
801,Gran (-2019),1 person,Private households,2019,37.5
802,Gran (-2019),2 persons,Persons in private households,2019,29.5
803,Gran (-2019),2 persons,Private households,2019,32.1
804,Gran (-2019),3 persons,Persons in private households,2019,18.2
805,Gran (-2019),3 persons,Private households,2019,13.1
806,Gran (-2019),4 persons,Persons in private households,2019,22.1
807,Gran (-2019),4 persons,Private households,2019,12.0
808,Gran (-2019),5 persons or more,Persons in private households,2019,13.0
809,Gran (-2019),5 persons or more,Private households,2019,5.3
810,Søndre Land (-2019),1 person,Persons in private households,2019,19.3
811,Søndre Land (-2019),1 person,Private households,2019,40.1
812,Søndre Land (-2019),2 persons,Persons in private households,2019,32.7
813,Søndre Land (-2019),2 persons,Private households,2019,33.9
814,Søndre Land (-2019),3 persons,Persons in private households,2019,16.2
815,Søndre Land (-2019),3 persons,Private households,2019,11.2
816,Søndre Land (-2019),4 persons,Persons in private households,2019,20.0
817,Søndre Land (-2019),4 persons,Private households,2019,10.4
818,Søndre Land (-2019),5 persons or more,Persons in private households,2019,11.8
819,Søndre Land (-2019),5 persons or more,Private households,2019,4.5
820,Nordre Land (-2019),1 person,Persons in private households,2019,18.4
821,Nordre Land (-2019),1 person,Private households,2019,38.7
822,Nordre Land (-2019),2 persons,Persons in private households,2019,31.4
823,Nordre Land (-2019),2 persons,Private households,2019,33.0
824,Nordre Land (-2019),3 persons,Persons in private households,2019,18.7
825,Nordre Land (-2019),3 persons,Private households,2019,13.1
826,Nordre Land (-2019),4 persons,Persons in private households,2019,19.9
827,Nordre Land (-2019),4 persons,Private households,2019,10.5
828,Nordre Land (-2019),5 persons or more,Persons in private households,2019,11.7
829,Nordre Land (-2019),5 persons or more,Private households,2019,4.7
830,Sør-Aurdal (-2019),1 person,Persons in private households,2019,19.8
831,Sør-Aurdal (-2019),1 person,Private households,2019,41.4
832,Sør-Aurdal (-2019),2 persons,Persons in private households,2019,32.4
833,Sør-Aurdal (-2019),2 persons,Private households,2019,33.9
834,Sør-Aurdal (-2019),3 persons,Persons in private households,2019,12.5
835,Sør-Aurdal (-2019),3 persons,Private households,2019,8.7
836,Sør-Aurdal (-2019),4 persons,Persons in private households,2019,17.4
837,Sør-Aurdal (-2019),4 persons,Private households,2019,9.1
838,Sør-Aurdal (-2019),5 persons or more,Persons in private households,2019,17.9
839,Sør-Aurdal (-2019),5 persons or more,Private households,2019,6.9
840,Etnedal (-2019),1 person,Persons in private households,2019,22.6
841,Etnedal (-2019),1 person,Private households,2019,45.9
842,Etnedal (-2019),2 persons,Persons in private households,2019,29.0
843,Etnedal (-2019),2 persons,Private households,2019,29.5
844,Etnedal (-2019),3 persons,Persons in private households,2019,12.9
845,Etnedal (-2019),3 persons,Private households,2019,8.8
846,Etnedal (-2019),4 persons,Persons in private households,2019,19.1
847,Etnedal (-2019),4 persons,Private households,2019,9.7
848,Etnedal (-2019),5 persons or more,Persons in private households,2019,16.4
849,Etnedal (-2019),5 persons or more,Private households,2019,6.2
850,Nord-Aurdal (-2019),1 person,Persons in private households,2019,20.3
851,Nord-Aurdal (-2019),1 person,Private households,2019,41.5
852,Nord-Aurdal (-2019),2 persons,Persons in private households,2019,31.2
853,Nord-Aurdal (-2019),2 persons,Private households,2019,32.0
854,Nord-Aurdal (-2019),3 persons,Persons in private households,2019,18.0
855,Nord-Aurdal (-2019),3 persons,Private households,2019,12.3
856,Nord-Aurdal (-2019),4 persons,Persons in private households,2019,19.5
857,Nord-Aurdal (-2019),4 persons,Private households,2019,10.0
858,Nord-Aurdal (-2019),5 persons or more,Persons in private households,2019,11.0
859,Nord-Aurdal (-2019),5 persons or more,Private households,2019,4.2
860,Vestre Slidre (-2019),1 person,Persons in private households,2019,18.9
861,Vestre Slidre (-2019),1 person,Private households,2019,39.5
862,Vestre Slidre (-2019),2 persons,Persons in private households,2019,32.2
863,Vestre Slidre (-2019),2 persons,Private households,2019,33.7
864,Vestre Slidre (-2019),3 persons,Persons in private households,2019,15.7
865,Vestre Slidre (-2019),3 persons,Private households,2019,11.0
866,Vestre Slidre (-2019),4 persons,Persons in private households,2019,20.2
867,Vestre Slidre (-2019),4 persons,Private households,2019,10.6
868,Vestre Slidre (-2019),5 persons or more,Persons in private households,2019,13.0
869,Vestre Slidre (-2019),5 persons or more,Private households,2019,5.3
870,Øystre Slidre (-2019),1 person,Persons in private households,2019,18.0
871,Øystre Slidre (-2019),1 person,Private households,2019,38.6
872,Øystre Slidre (-2019),2 persons,Persons in private households,2019,30.6
873,Øystre Slidre (-2019),2 persons,Private households,2019,32.9
874,Øystre Slidre (-2019),3 persons,Persons in private households,2019,16.3
875,Øystre Slidre (-2019),3 persons,Private households,2019,11.6
876,Øystre Slidre (-2019),4 persons,Persons in private households,2019,20.7
877,Øystre Slidre (-2019),4 persons,Private households,2019,11.1
878,Øystre Slidre (-2019),5 persons or more,Persons in private households,2019,14.5
879,Øystre Slidre (-2019),5 persons or more,Private households,2019,5.9
880,Vang (-2019),1 person,Persons in private households,2019,16.9
881,Vang (-2019),1 person,Private households,2019,37.4
882,Vang (-2019),2 persons,Persons in private households,2019,27.8
883,Vang (-2019),2 persons,Private households,2019,30.8
884,Vang (-2019),3 persons,Persons in private households,2019,17.9
885,Vang (-2019),3 persons,Private households,2019,13.2
886,Vang (-2019),4 persons,Persons in private households,2019,21.5
887,Vang (-2019),4 persons,Private households,2019,11.9
888,Vang (-2019),5 persons or more,Persons in private households,2019,16.0
889,Vang (-2019),5 persons or more,Private households,2019,6.7
890,Drammen (-2019),1 person,Persons in private households,2019,19.1
891,Drammen (-2019),1 person,Private households,2019,40.6
892,Drammen (-2019),2 persons,Persons in private households,2019,28.5
893,Drammen (-2019),2 persons,Private households,2019,30.3
894,Drammen (-2019),3 persons,Persons in private households,2019,17.7
895,Drammen (-2019),3 persons,Private households,2019,12.5
896,Drammen (-2019),4 persons,Persons in private households,2019,21.4
897,Drammen (-2019),4 persons,Private households,2019,11.3
898,Drammen (-2019),5 persons or more,Persons in private households,2019,13.4
899,Drammen (-2019),5 persons or more,Private households,2019,5.3
900,Kongsberg (-2019),1 person,Persons in private households,2019,18.6
901,Kongsberg (-2019),1 person,Private households,2019,39.2
902,Kongsberg (-2019),2 persons,Persons in private households,2019,30.5
903,Kongsberg (-2019),2 persons,Private households,2019,32.2
904,Kongsberg (-2019),3 persons,Persons in private households,2019,17.4
905,Kongsberg (-2019),3 persons,Private households,2019,12.3
906,Kongsberg (-2019),4 persons,Persons in private households,2019,22.7
907,Kongsberg (-2019),4 persons,Private households,2019,12.0
908,Kongsberg (-2019),5 persons or more,Persons in private households,2019,10.9
909,Kongsberg (-2019),5 persons or more,Private households,2019,4.3
910,Ringerike (1977-2019),1 person,Persons in private households,2019,19.8
911,Ringerike (1977-2019),1 person,Private households,2019,40.7
912,Ringerike (1977-2019),2 persons,Persons in private households,2019,32.2
913,Ringerike (1977-2019),2 persons,Private households,2019,33.1
914,Ringerike (1977-2019),3 persons,Persons in private households,2019,17.0
915,Ringerike (1977-2019),3 persons,Private households,2019,11.6
916,Ringerike (1977-2019),4 persons,Persons in private households,2019,20.1
917,Ringerike (1977-2019),4 persons,Private households,2019,10.3
918,Ringerike (1977-2019),5 persons or more,Persons in private households,2019,10.9
919,Ringerike (1977-2019),5 persons or more,Private households,2019,4.2
920,Hole (1977-2019),1 person,Persons in private households,2019,14.2
921,Hole (1977-2019),1 person,Private households,2019,32.8
922,Hole (1977-2019),2 persons,Persons in private households,2019,28.3
923,Hole (1977-2019),2 persons,Private households,2019,32.7
924,Hole (1977-2019),3 persons,Persons in private households,2019,17.3
925,Hole (1977-2019),3 persons,Private households,2019,13.3
926,Hole (1977-2019),4 persons,Persons in private households,2019,26.4
927,Hole (1977-2019),4 persons,Private households,2019,15.2
928,Hole (1977-2019),5 persons or more,Persons in private households,2019,13.8
929,Hole (1977-2019),5 persons or more,Private households,2019,5.9
930,Flå (-2019),1 person,Persons in private households,2019,21.6
931,Flå (-2019),1 person,Private households,2019,44.0
932,Flå (-2019),2 persons,Persons in private households,2019,29.5
933,Flå (-2019),2 persons,Private households,2019,30.0
934,Flå (-2019),3 persons,Persons in private households,2019,18.6
935,Flå (-2019),3 persons,Private households,2019,12.6
936,Flå (-2019),4 persons,Persons in private households,2019,18.2
937,Flå (-2019),4 persons,Private households,2019,9.3
938,Flå (-2019),5 persons or more,Persons in private households,2019,12.1
939,Flå (-2019),5 persons or more,Private households,2019,4.1
940,Nes (Buskerud) (-2019),1 person,Persons in private households,2019,19.2
941,Nes (Buskerud) (-2019),1 person,Private households,2019,39.7
942,Nes (Buskerud) (-2019),2 persons,Persons in private households,2019,34.1
943,Nes (Buskerud) (-2019),2 persons,Private households,2019,35.2
944,Nes (Buskerud) (-2019),3 persons,Persons in private households,2019,16.0
945,Nes (Buskerud) (-2019),3 persons,Private households,2019,11.0
946,Nes (Buskerud) (-2019),4 persons,Persons in private households,2019,17.7
947,Nes (Buskerud) (-2019),4 persons,Private households,2019,9.1
948,Nes (Buskerud) (-2019),5 persons or more,Persons in private households,2019,13.0
949,Nes (Buskerud) (-2019),5 persons or more,Private households,2019,5.0
950,Gol (-2019),1 person,Persons in private households,2019,21.7
951,Gol (-2019),1 person,Private households,2019,43.9
952,Gol (-2019),2 persons,Persons in private households,2019,30.8
953,Gol (-2019),2 persons,Private households,2019,31.2
954,Gol (-2019),3 persons,Persons in private households,2019,14.6
955,Gol (-2019),3 persons,Private households,2019,9.9
956,Gol (-2019),4 persons,Persons in private households,2019,19.9
957,Gol (-2019),4 persons,Private households,2019,10.1
958,Gol (-2019),5 persons or more,Persons in private households,2019,13.0
959,Gol (-2019),5 persons or more,Private households,2019,5.0
960,Hemsedal (-2019),1 person,Persons in private households,2019,18.7
961,Hemsedal (-2019),1 person,Private households,2019,40.0
962,Hemsedal (-2019),2 persons,Persons in private households,2019,28.0
963,Hemsedal (-2019),2 persons,Private households,2019,30.1
964,Hemsedal (-2019),3 persons,Persons in private households,2019,18.4
965,Hemsedal (-2019),3 persons,Private households,2019,13.2
966,Hemsedal (-2019),4 persons,Persons in private households,2019,21.4
967,Hemsedal (-2019),4 persons,Private households,2019,11.5
968,Hemsedal (-2019),5 persons or more,Persons in private households,2019,13.5
969,Hemsedal (-2019),5 persons or more,Private households,2019,5.3
970,Ål (-2019),1 person,Persons in private households,2019,19.4
971,Ål (-2019),1 person,Private households,2019,41.4
972,Ål (-2019),2 persons,Persons in private households,2019,28.4
973,Ål (-2019),2 persons,Private households,2019,30.4
974,Ål (-2019),3 persons,Persons in private households,2019,16.0
975,Ål (-2019),3 persons,Private households,2019,11.4
976,Ål (-2019),4 persons,Persons in private households,2019,18.9
977,Ål (-2019),4 persons,Private households,2019,10.1
978,Ål (-2019),5 persons or more,Persons in private households,2019,17.4
979,Ål (-2019),5 persons or more,Private households,2019,6.7
980,Hol (-2019),1 person,Persons in private households,2019,19.9
981,Hol (-2019),1 person,Private households,2019,40.8
982,Hol (-2019),2 persons,Persons in private households,2019,32.0
983,Hol (-2019),2 persons,Private households,2019,32.7
984,Hol (-2019),3 persons,Persons in private households,2019,18.3
985,Hol (-2019),3 persons,Private households,2019,12.5
986,Hol (-2019),4 persons,Persons in private households,2019,20.4
987,Hol (-2019),4 persons,Private households,2019,10.4
988,Hol (-2019),5 persons or more,Persons in private households,2019,9.3
989,Hol (-2019),5 persons or more,Private households,2019,3.6
990,Sigdal (-2019),1 person,Persons in private households,2019,19.9
991,Sigdal (-2019),1 person,Private households,2019,41.3
992,Sigdal (-2019),2 persons,Persons in private households,2019,30.4
993,Sigdal (-2019),2 persons,Private households,2019,31.6
994,Sigdal (-2019),3 persons,Persons in private households,2019,16.4
995,Sigdal (-2019),3 persons,Private households,2019,11.4
996,Sigdal (-2019),4 persons,Persons in private households,2019,21.5
997,Sigdal (-2019),4 persons,Private households,2019,11.2
998,Sigdal (-2019),5 persons or more,Persons in private households,2019,11.8
999,Sigdal (-2019),5 persons or more,Private households,2019,4.6
1000,Krødsherad (-2019),1 person,Persons in private households,2019,18.8
1001,Krødsherad (-2019),1 person,Private households,2019,40.5
1002,Krødsherad (-2019),2 persons,Persons in private households,2019,27.8
1003,Krødsherad (-2019),2 persons,Private households,2019,29.9
1004,Krødsherad (-2019),3 persons,Persons in private households,2019,17.2
1005,Krødsherad (-2019),3 persons,Private households,2019,12.3
1006,Krødsherad (-2019),4 persons,Persons in private households,2019,21.7
1007,Krødsherad (-2019),4 persons,Private households,2019,11.6
1008,Krødsherad (-2019),5 persons or more,Persons in private households,2019,14.5
1009,Krødsherad (-2019),5 persons or more,Private households,2019,5.6
1010,Modum (-2019),1 person,Persons in private households,2019,17.6
1011,Modum (-2019),1 person,Private households,2019,37.6
1012,Modum (-2019),2 persons,Persons in private households,2019,31.5
1013,Modum (-2019),2 persons,Private households,2019,33.6
1014,Modum (-2019),3 persons,Persons in private households,2019,18.2
1015,Modum (-2019),3 persons,Private households,2019,13.0
1016,Modum (-2019),4 persons,Persons in private households,2019,21.6
1017,Modum (-2019),4 persons,Private households,2019,11.5
1018,Modum (-2019),5 persons or more,Persons in private households,2019,11.0
1019,Modum (-2019),5 persons or more,Private households,2019,4.4
1020,Øvre Eiker (-2019),1 person,Persons in private households,2019,15.0
1021,Øvre Eiker (-2019),1 person,Private households,2019,34.0
1022,Øvre Eiker (-2019),2 persons,Persons in private households,2019,29.3
1023,Øvre Eiker (-2019),2 persons,Private households,2019,33.1
1024,Øvre Eiker (-2019),3 persons,Persons in private households,2019,18.2
1025,Øvre Eiker (-2019),3 persons,Private households,2019,13.7
1026,Øvre Eiker (-2019),4 persons,Persons in private households,2019,22.9
1027,Øvre Eiker (-2019),4 persons,Private households,2019,12.9
1028,Øvre Eiker (-2019),5 persons or more,Persons in private households,2019,14.6
1029,Øvre Eiker (-2019),5 persons or more,Private households,2019,6.1
1030,Nedre Eiker (-2019),1 person,Persons in private households,2019,13.2
1031,Nedre Eiker (-2019),1 person,Private households,2019,31.1
1032,Nedre Eiker (-2019),2 persons,Persons in private households,2019,27.5
1033,Nedre Eiker (-2019),2 persons,Private households,2019,32.3
1034,Nedre Eiker (-2019),3 persons,Persons in private households,2019,19.6
1035,Nedre Eiker (-2019),3 persons,Private households,2019,15.3
1036,Nedre Eiker (-2019),4 persons,Persons in private households,2019,26.1
1037,Nedre Eiker (-2019),4 persons,Private households,2019,15.3
1038,Nedre Eiker (-2019),5 persons or more,Persons in private households,2019,13.6
1039,Nedre Eiker (-2019),5 persons or more,Private households,2019,6.0
1040,Lier (-2019),1 person,Persons in private households,2019,13.6
1041,Lier (-2019),1 person,Private households,2019,31.9
1042,Lier (-2019),2 persons,Persons in private households,2019,27.1
1043,Lier (-2019),2 persons,Private households,2019,31.7
1044,Lier (-2019),3 persons,Persons in private households,2019,19.0
1045,Lier (-2019),3 persons,Private households,2019,14.9
1046,Lier (-2019),4 persons,Persons in private households,2019,26.4
1047,Lier (-2019),4 persons,Private households,2019,15.4
1048,Lier (-2019),5 persons or more,Persons in private households,2019,13.9
1049,Lier (-2019),5 persons or more,Private households,2019,6.1
1050,Røyken (-2019),1 person,Persons in private households,2019,11.9
1051,Røyken (-2019),1 person,Private households,2019,28.7
1052,Røyken (-2019),2 persons,Persons in private households,2019,27.2
1053,Røyken (-2019),2 persons,Private households,2019,32.7
1054,Røyken (-2019),3 persons,Persons in private households,2019,19.6
1055,Røyken (-2019),3 persons,Private households,2019,15.8
1056,Røyken (-2019),4 persons,Persons in private households,2019,27.5
1057,Røyken (-2019),4 persons,Private households,2019,16.5
1058,Røyken (-2019),5 persons or more,Persons in private households,2019,13.8
1059,Røyken (-2019),5 persons or more,Private households,2019,6.3
1060,Hurum (-2019),1 person,Persons in private households,2019,15.5
1061,Hurum (-2019),1 person,Private households,2019,34.3
1062,Hurum (-2019),2 persons,Persons in private households,2019,31.2
1063,Hurum (-2019),2 persons,Private households,2019,34.5
1064,Hurum (-2019),3 persons,Persons in private households,2019,19.3
1065,Hurum (-2019),3 persons,Private households,2019,14.2
1066,Hurum (-2019),4 persons,Persons in private households,2019,21.1
1067,Hurum (-2019),4 persons,Private households,2019,11.7
1068,Hurum (-2019),5 persons or more,Persons in private households,2019,12.8
1069,Hurum (-2019),5 persons or more,Private households,2019,5.3
1070,Flesberg (-2019),1 person,Persons in private households,2019,15.1
1071,Flesberg (-2019),1 person,Private households,2019,34.0
1072,Flesberg (-2019),2 persons,Persons in private households,2019,29.9
1073,Flesberg (-2019),2 persons,Private households,2019,33.6
1074,Flesberg (-2019),3 persons,Persons in private households,2019,19.4
1075,Flesberg (-2019),3 persons,Private households,2019,14.5
1076,Flesberg (-2019),4 persons,Persons in private households,2019,20.4
1077,Flesberg (-2019),4 persons,Private households,2019,11.5
1078,Flesberg (-2019),5 persons or more,Persons in private households,2019,15.1
1079,Flesberg (-2019),5 persons or more,Private households,2019,6.3
1080,Rollag (-2019),1 person,Persons in private households,2019,18.0
1081,Rollag (-2019),1 person,Private households,2019,39.1
1082,Rollag (-2019),2 persons,Persons in private households,2019,28.9
1083,Rollag (-2019),2 persons,Private households,2019,31.3
1084,Rollag (-2019),3 persons,Persons in private households,2019,17.7
1085,Rollag (-2019),3 persons,Private households,2019,12.8
1086,Rollag (-2019),4 persons,Persons in private households,2019,19.8
1087,Rollag (-2019),4 persons,Private households,2019,10.7
1088,Rollag (-2019),5 persons or more,Persons in private households,2019,15.6
1089,Rollag (-2019),5 persons or more,Private households,2019,6.1
1090,Nore og Uvdal (-2019),1 person,Persons in private households,2019,17.7
1091,Nore og Uvdal (-2019),1 person,Private households,2019,38.6
1092,Nore og Uvdal (-2019),2 persons,Persons in private households,2019,29.4
1093,Nore og Uvdal (-2019),2 persons,Private households,2019,32.1
1094,Nore og Uvdal (-2019),3 persons,Persons in private households,2019,15.9
1095,Nore og Uvdal (-2019),3 persons,Private households,2019,11.6
1096,Nore og Uvdal (-2019),4 persons,Persons in private households,2019,19.1
1097,Nore og Uvdal (-2019),4 persons,Private households,2019,10.5
1098,Nore og Uvdal (-2019),5 persons or more,Persons in private households,2019,18.0
1099,Nore og Uvdal (-2019),5 persons or more,Private households,2019,7.2
1100,Horten (2002-2019),1 person,Persons in private households,2019,18.7
1101,Horten (2002-2019),1 person,Private households,2019,39.3
1102,Horten (2002-2019),2 persons,Persons in private households,2019,31.5
1103,Horten (2002-2019),2 persons,Private households,2019,33.1
1104,Horten (2002-2019),3 persons,Persons in private households,2019,16.8
1105,Horten (2002-2019),3 persons,Private households,2019,11.8
1106,Horten (2002-2019),4 persons,Persons in private households,2019,21.2
1107,Horten (2002-2019),4 persons,Private households,2019,11.1
1108,Horten (2002-2019),5 persons or more,Persons in private households,2019,11.9
1109,Horten (2002-2019),5 persons or more,Private households,2019,4.7
1110,Tønsberg (1988-2019),1 person,Persons in private households,2019,19.1
1111,Tønsberg (1988-2019),1 person,Private households,2019,40.1
1112,Tønsberg (1988-2019),2 persons,Persons in private households,2019,30.5
1113,Tønsberg (1988-2019),2 persons,Private households,2019,32.0
1114,Tønsberg (1988-2019),3 persons,Persons in private households,2019,16.9
1115,Tønsberg (1988-2019),3 persons,Private households,2019,11.8
1116,Tønsberg (1988-2019),4 persons,Persons in private households,2019,22.1
1117,Tønsberg (1988-2019),4 persons,Private households,2019,11.6
1118,Tønsberg (1988-2019),5 persons or more,Persons in private households,2019,11.4
1119,Tønsberg (1988-2019),5 persons or more,Private households,2019,4.5
1120,Sandefjord (2017-2019),1 person,Persons in private households,2019,17.2
1121,Sandefjord (2017-2019),1 person,Private households,2019,37.3
1122,Sandefjord (2017-2019),2 persons,Persons in private households,2019,30.0
1123,Sandefjord (2017-2019),2 persons,Private households,2019,32.6
1124,Sandefjord (2017-2019),3 persons,Persons in private households,2019,17.9
1125,Sandefjord (2017-2019),3 persons,Private households,2019,12.9
1126,Sandefjord (2017-2019),4 persons,Persons in private households,2019,21.8
1127,Sandefjord (2017-2019),4 persons,Private households,2019,11.8
1128,Sandefjord (2017-2019),5 persons or more,Persons in private households,2019,13.2
1129,Sandefjord (2017-2019),5 persons or more,Private households,2019,5.3
1130,Svelvik (-2019),1 person,Persons in private households,2019,15.9
1131,Svelvik (-2019),1 person,Private households,2019,34.5
1132,Svelvik (-2019),2 persons,Persons in private households,2019,32.5
1133,Svelvik (-2019),2 persons,Private households,2019,35.2
1134,Svelvik (-2019),3 persons,Persons in private households,2019,20.1
1135,Svelvik (-2019),3 persons,Private households,2019,14.5
1136,Svelvik (-2019),4 persons,Persons in private households,2019,21.3
1137,Svelvik (-2019),4 persons,Private households,2019,11.6
1138,Svelvik (-2019),5 persons or more,Persons in private households,2019,10.1
1139,Svelvik (-2019),5 persons or more,Private households,2019,4.2
1140,Larvik (2018-2019),1 person,Persons in private households,2019,17.8
1141,Larvik (2018-2019),1 person,Private households,2019,37.8
1142,Larvik (2018-2019),2 persons,Persons in private households,2019,31.6
1143,Larvik (2018-2019),2 persons,Private households,2019,33.6
1144,Larvik (2018-2019),3 persons,Persons in private households,2019,17.7
1145,Larvik (2018-2019),3 persons,Private households,2019,12.5
1146,Larvik (2018-2019),4 persons,Persons in private households,2019,21.5
1147,Larvik (2018-2019),4 persons,Private households,2019,11.4
1148,Larvik (2018-2019),5 persons or more,Persons in private households,2019,11.4
1149,Larvik (2018-2019),5 persons or more,Private households,2019,4.6
1150,Sande (Vestfold) (-2019),1 person,Persons in private households,2019,13.6
1151,Sande (Vestfold) (-2019),1 person,Private households,2019,31.5
1152,Sande (Vestfold) (-2019),2 persons,Persons in private households,2019,29.1
1153,Sande (Vestfold) (-2019),2 persons,Private households,2019,33.7
1154,Sande (Vestfold) (-2019),3 persons,Persons in private households,2019,19.1
1155,Sande (Vestfold) (-2019),3 persons,Private households,2019,14.8
1156,Sande (Vestfold) (-2019),4 persons,Persons in private households,2019,24.1
1157,Sande (Vestfold) (-2019),4 persons,Private households,2019,14.0
1158,Sande (Vestfold) (-2019),5 persons or more,Persons in private households,2019,14.1
1159,Sande (Vestfold) (-2019),5 persons or more,Private households,2019,6.1
1160,Holmestrand (2018-2019),1 person,Persons in private households,2019,16.8
1161,Holmestrand (2018-2019),1 person,Private households,2019,36.2
1162,Holmestrand (2018-2019),2 persons,Persons in private households,2019,31.8
1163,Holmestrand (2018-2019),2 persons,Private households,2019,34.2
1164,Holmestrand (2018-2019),3 persons,Persons in private households,2019,18.1
1165,Holmestrand (2018-2019),3 persons,Private households,2019,13.0
1166,Holmestrand (2018-2019),4 persons,Persons in private households,2019,22.6
1167,Holmestrand (2018-2019),4 persons,Private households,2019,12.2
1168,Holmestrand (2018-2019),5 persons or more,Persons in private households,2019,10.7
1169,Holmestrand (2018-2019),5 persons or more,Private households,2019,4.4
1170,Re (2002-2019),1 person,Persons in private households,2019,14.0
1171,Re (2002-2019),1 person,Private households,2019,32.3
1172,Re (2002-2019),2 persons,Persons in private households,2019,29.4
1173,Re (2002-2019),2 persons,Private households,2019,34.0
1174,Re (2002-2019),3 persons,Persons in private households,2019,17.2
1175,Re (2002-2019),3 persons,Private households,2019,13.2
1176,Re (2002-2019),4 persons,Persons in private households,2019,23.4
1177,Re (2002-2019),4 persons,Private households,2019,13.5
1178,Re (2002-2019),5 persons or more,Persons in private households,2019,16.0
1179,Re (2002-2019),5 persons or more,Private households,2019,7.0
1180,Færder (2018-2019),1 person,Persons in private households,2019,16.2
1181,Færder (2018-2019),1 person,Private households,2019,35.2
1182,Færder (2018-2019),2 persons,Persons in private households,2019,32.1
1183,Færder (2018-2019),2 persons,Private households,2019,35.0
1184,Færder (2018-2019),3 persons,Persons in private households,2019,17.5
1185,Færder (2018-2019),3 persons,Private households,2019,12.7
1186,Færder (2018-2019),4 persons,Persons in private households,2019,22.0
1187,Færder (2018-2019),4 persons,Private households,2019,12.0
1188,Færder (2018-2019),5 persons or more,Persons in private households,2019,12.1
1189,Færder (2018-2019),5 persons or more,Private households,2019,5.0
1190,Porsgrunn (-2019),1 person,Persons in private households,2019,19.0
1191,Porsgrunn (-2019),1 person,Private households,2019,39.8
1192,Porsgrunn (-2019),2 persons,Persons in private households,2019,31.1
1193,Porsgrunn (-2019),2 persons,Private households,2019,32.5
1194,Porsgrunn (-2019),3 persons,Persons in private households,2019,17.6
1195,Porsgrunn (-2019),3 persons,Private households,2019,12.3
1196,Porsgrunn (-2019),4 persons,Persons in private households,2019,21.2
1197,Porsgrunn (-2019),4 persons,Private households,2019,11.1
1198,Porsgrunn (-2019),5 persons or more,Persons in private households,2019,11.1
1199,Porsgrunn (-2019),5 persons or more,Private households,2019,4.3
1200,Skien (-2019),1 person,Persons in private households,2019,18.3
1201,Skien (-2019),1 person,Private households,2019,38.9
1202,Skien (-2019),2 persons,Persons in private households,2019,30.8
1203,Skien (-2019),2 persons,Private households,2019,32.6
1204,Skien (-2019),3 persons,Persons in private households,2019,17.7
1205,Skien (-2019),3 persons,Private households,2019,12.5
1206,Skien (-2019),4 persons,Persons in private households,2019,21.3
1207,Skien (-2019),4 persons,Private households,2019,11.3
1208,Skien (-2019),5 persons or more,Persons in private households,2019,11.9
1209,Skien (-2019),5 persons or more,Private households,2019,4.7
1210,Notodden (-2019),1 person,Persons in private households,2019,19.7
1211,Notodden (-2019),1 person,Private households,2019,40.8
1212,Notodden (-2019),2 persons,Persons in private households,2019,31.1
1213,Notodden (-2019),2 persons,Private households,2019,32.2
1214,Notodden (-2019),3 persons,Persons in private households,2019,17.0
1215,Notodden (-2019),3 persons,Private households,2019,11.7
1216,Notodden (-2019),4 persons,Persons in private households,2019,21.1
1217,Notodden (-2019),4 persons,Private households,2019,10.9
1218,Notodden (-2019),5 persons or more,Persons in private households,2019,11.3
1219,Notodden (-2019),5 persons or more,Private households,2019,4.4
1220,Siljan (-2019),1 person,Persons in private households,2019,12.3
1221,Siljan (-2019),1 person,Private households,2019,28.3
1222,Siljan (-2019),2 persons,Persons in private households,2019,33.3
1223,Siljan (-2019),2 persons,Private households,2019,38.3
1224,Siljan (-2019),3 persons,Persons in private households,2019,20.7
1225,Siljan (-2019),3 persons,Private households,2019,15.8
1226,Siljan (-2019),4 persons,Persons in private households,2019,22.0
1227,Siljan (-2019),4 persons,Private households,2019,12.6
1228,Siljan (-2019),5 persons or more,Persons in private households,2019,11.7
1229,Siljan (-2019),5 persons or more,Private households,2019,4.9
1230,Bamble (-2019),1 person,Persons in private households,2019,14.8
1231,Bamble (-2019),1 person,Private households,2019,33.1
1232,Bamble (-2019),2 persons,Persons in private households,2019,32.0
1233,Bamble (-2019),2 persons,Private households,2019,35.8
1234,Bamble (-2019),3 persons,Persons in private households,2019,18.4
