Put 30587 people in Halden in 14683 households, 35 kindergartens, 9 primary schools, 4 lower secondary schools, 3 upper secondary schools, 885 workplaces, and 7 nursing homes.
Put 25693 people in Fjell in 10736 households, 3 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 842 workplaces, and 2 nursing homes.
Put 27619 people in Askøy in 11082 households, 28 kindergartens, 14 primary schools, 4 lower secondary schools, 2 upper secondary schools, 466 workplaces, and 2 nursing homes.
Put 3716 people in Vaksdal in 1770 households, 4 kindergartens, 5 primary schools, 2 lower secondary schools, 0 upper secondary schools, 103 workplaces, and 0 nursing homes.
Put 320 people in Modalen in 145 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 29 workplaces, and 0 nursing homes.
Put 7431 people in Osterøy in 3271 households, 8 kindergartens, 7 primary schools, 2 lower secondary schools, 1 upper secondary schools, 193 workplaces, and 0 nursing homes.
Put 10079 people in Meland in 4230 households, 4 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 227 workplaces, and 1 nursing homes.
Put 4431 people in Øygarden in 1923 households, 42 kindergartens, 18 primary schools, 5 lower secondary schools, 2 upper secondary schools, 51 workplaces, and 0 nursing homes.
Put 2724 people in Austrheim in 1211 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 73 workplaces, and 0 nursing homes.
Put 507 people in Fedje in 240 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 6 workplaces, and 0 nursing homes.
Put 1539 people in Masfjorden in 700 households, 3 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 62 workplaces, and 0 nursing homes.
Put 2159 people in Gulen in 992 households, 4 kindergartens, 4 primary schools, 4 lower secondary schools, 0 upper secondary schools, 98 workplaces, and 0 nursing homes.
Put 779 people in Solund in 361 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 41 workplaces, and 0 nursing homes.
Put 1228 people in Hyllestad in 611 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 29 workplaces, and 0 nursing homes.
Put 3750 people in Høyanger in 1829 households, 6 kindergartens, 5 primary schools, 3 lower secondary schools, 1 upper secondary schools, 127 workplaces, and 2 nursing homes.
Put 135133 people in Vik in 63498 households, 114 kindergartens, 63 primary schools, 38 lower secondary schools, 6 upper secondary schools, 3989 workplaces, and 0 nursing homes.
Put 9023 people in Sogndal in 4398 households, 14 kindergartens, 5 primary schools, 2 lower secondary schools, 2 upper secondary schools, 408 workplaces, and 0 nursing homes.
Put 1593 people in Aurland in 762 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 102 workplaces, and 0 nursing homes.
Put 2058 people in Lærdal in 937 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 63 workplaces, and 0 nursing homes.
Put 4824 people in Årdal in 2423 households, 6 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 209 workplaces, and 0 nursing homes.
Put 4657 people in Luster in 2149 households, 9 kindergartens, 8 primary schools, 2 lower secondary schools, 0 upper secondary schools, 130 workplaces, and 0 nursing homes.
Put 2719 people in Askvoll in 1273 households, 5 kindergartens, 5 primary schools, 3 lower secondary schools, 0 upper secondary schools, 81 workplaces, and 0 nursing homes.
Put 2437 people in Fjaler in 1138 households, 4 kindergartens, 3 primary schools, 2 lower secondary schools, 1 upper secondary schools, 124 workplaces, and 0 nursing homes.
Put 3346 people in Bremanger in 1554 households, 7 kindergartens, 6 primary schools, 3 lower secondary schools, 0 upper secondary schools, 154 workplaces, and 0 nursing homes.
Put 58690 people in Eid in 27049 households, 32 kindergartens, 18 primary schools, 8 lower secondary schools, 3 upper secondary schools, 1673 workplaces, and 0 nursing homes.
Put 5136 people in Gloppen in 2348 households, 8 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 201 workplaces, and 3 nursing homes.
Put 6328 people in Stryn in 2874 households, 9 kindergartens, 7 primary schools, 2 lower secondary schools, 1 upper secondary schools, 265 workplaces, and 3 nursing homes.
Put 26315 people in Molde in 12528 households, 33 kindergartens, 15 primary schools, 8 lower secondary schools, 3 upper secondary schools, 862 workplaces, and 5 nursing homes.
Put 47112 people in Ålesund in 21815 households, 64 kindergartens, 30 primary schools, 17 lower secondary schools, 9 upper secondary schools, 1818 workplaces, and 3 nursing homes.
Put 23547 people in Kristiansund in 11357 households, 17 kindergartens, 9 primary schools, 3 lower secondary schools, 2 upper secondary schools, 836 workplaces, and 3 nursing homes.
Put 2811 people in Vanylven in 1349 households, 3 kindergartens, 3 primary schools, 2 lower secondary schools, 1 upper secondary schools, 97 workplaces, and 1 nursing homes.
Put 71551 people in Sande in 33116 households, 66 kindergartens, 27 primary schools, 13 lower secondary schools, 6 upper secondary schools, 2204 workplaces, and 0 nursing homes.
Put 9985 people in Herøy in 4512 households, 11 kindergartens, 8 primary schools, 4 lower secondary schools, 1 upper secondary schools, 285 workplaces, and 2 nursing homes.
Put 8047 people in Ulstein in 3467 households, 9 kindergartens, 4 primary schools, 1 lower secondary schools, 1 upper secondary schools, 263 workplaces, and 1 nursing homes.
Put 4952 people in Hareid in 2186 households, 4 kindergartens, 4 primary schools, 1 lower secondary schools, 0 upper secondary schools, 70 workplaces, and 1 nursing homes.
Put 9503 people in Volda in 4564 households, 16 kindergartens, 8 primary schools, 4 lower secondary schools, 1 upper secondary schools, 258 workplaces, and 3 nursing homes.
Put 9957 people in Ørsta in 4516 households, 11 kindergartens, 7 primary schools, 3 lower secondary schools, 1 upper secondary schools, 314 workplaces, and 2 nursing homes.
Put 4244 people in Stranda in 1937 households, 7 kindergartens, 3 primary schools, 3 lower secondary schools, 2 upper secondary schools, 213 workplaces, and 1 nursing homes.
Put 7031 people in Sykkylven in 3160 households, 9 kindergartens, 6 primary schools, 1 lower secondary schools, 1 upper secondary schools, 216 workplaces, and 2 nursing homes.
Put 8688 people in Sula in 3654 households, 10 kindergartens, 4 primary schools, 1 lower secondary schools, 0 upper secondary schools, 179 workplaces, and 3 nursing homes.
Put 7906 people in Giske in 3229 households, 8 kindergartens, 4 primary schools, 2 lower secondary schools, 0 upper secondary schools, 171 workplaces, and 2 nursing homes.
Put 6153 people in Vestnes in 2886 households, 7 kindergartens, 5 primary schools, 3 lower secondary schools, 1 upper secondary schools, 164 workplaces, and 2 nursing homes.
Put 6994 people in Rauma in 3304 households, 9 kindergartens, 5 primary schools, 3 lower secondary schools, 1 upper secondary schools, 259 workplaces, and 2 nursing homes.
Put 3383 people in Aukra in 1438 households, 3 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 90 workplaces, and 1 nursing homes.
Put 5603 people in Averøy in 2518 households, 8 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 138 workplaces, and 1 nursing homes.
Put 2536 people in Gjemnes in 1119 households, 5 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 67 workplaces, and 1 nursing homes.
Put 2729 people in Tingvoll in 1339 households, 3 kindergartens, 3 primary schools, 2 lower secondary schools, 1 upper secondary schools, 116 workplaces, and 1 nursing homes.
Put 6407 people in Sunndal in 3184 households, 6 kindergartens, 5 primary schools, 1 lower secondary schools, 1 upper secondary schools, 261 workplaces, and 2 nursing homes.
Put 5388 people in Surnadal in 2530 households, 9 kindergartens, 5 primary schools, 1 lower secondary schools, 1 upper secondary schools, 190 workplaces, and 1 nursing homes.
Put 2130 people in Smøla in 1001 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 105 workplaces, and 1 nursing homes.
Put 3366 people in Aure in 1593 households, 5 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 153 workplaces, and 2 nursing homes.
Put 51634 people in Bodø in 24206 households, 60 kindergartens, 19 primary schools, 15 lower secondary schools, 5 upper secondary schools, 1713 workplaces, and 8 nursing homes.
Put 1339 people in Bindal in 629 households, 3 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 59 workplaces, and 1 nursing homes.
Put 1824 people in Sømna in 919 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 88 workplaces, and 1 nursing homes.
Put 7493 people in Brønnøy in 3493 households, 9 kindergartens, 4 primary schools, 3 lower secondary schools, 1 upper secondary schools, 261 workplaces, and 1 nursing homes.
Put 1200 people in Vega in 559 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 55 workplaces, and 1 nursing homes.
Put 443 people in Vevelstad in 222 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 20 workplaces, and 1 nursing homes.
Put 2207 people in Leirfjord in 990 households, 4 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 63 workplaces, and 1 nursing homes.
Put 12934 people in Vefsn in 6183 households, 19 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 403 workplaces, and 3 nursing homes.
Put 1336 people in Grane in 681 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 34 workplaces, and 1 nursing homes.
Put 1161 people in Hattfjelldal in 576 households, 3 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 79 workplaces, and 1 nursing homes.
Put 1249 people in Dønna in 622 households, 3 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 34 workplaces, and 1 nursing homes.
Put 1690 people in Nesna in 831 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 69 workplaces, and 1 nursing homes.
Put 4185 people in Hemnes in 2018 households, 7 kindergartens, 4 primary schools, 3 lower secondary schools, 0 upper secondary schools, 155 workplaces, and 1 nursing homes.
Put 25577 people in Rana in 11794 households, 23 kindergartens, 11 primary schools, 3 lower secondary schools, 1 upper secondary schools, 850 workplaces, and 5 nursing homes.
Put 1803 people in Lurøy in 874 households, 6 kindergartens, 6 primary schools, 5 lower secondary schools, 0 upper secondary schools, 58 workplaces, and 1 nursing homes.
Put 462 people in Træna in 204 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 32 workplaces, and 1 nursing homes.
Put 1099 people in Rødøy in 511 households, 4 kindergartens, 6 primary schools, 6 lower secondary schools, 0 upper secondary schools, 48 workplaces, and 1 nursing homes.
Put 5863 people in Meløy in 2799 households, 9 kindergartens, 8 primary schools, 5 lower secondary schools, 1 upper secondary schools, 256 workplaces, and 1 nursing homes.
Put 1907 people in Gildeskål in 931 households, 5 kindergartens, 4 primary schools, 4 lower secondary schools, 1 upper secondary schools, 89 workplaces, and 1 nursing homes.
Put 918 people in Beiarn in 460 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 30 workplaces, and 1 nursing homes.
Put 4365 people in Saltdal in 2077 households, 6 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 136 workplaces, and 1 nursing homes.
Put 9347 people in Fauske in 4440 households, 10 kindergartens, 3 primary schools, 3 lower secondary schools, 1 upper secondary schools, 342 workplaces, and 2 nursing homes.
Put 1918 people in Sørfold in 894 households, 3 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 69 workplaces, and 1 nursing homes.
Put 2370 people in Steigen in 1178 households, 4 kindergartens, 4 primary schools, 1 lower secondary schools, 1 upper secondary schools, 133 workplaces, and 1 nursing homes.
Put 2056 people in Lødingen in 989 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 113 workplaces, and 1 nursing homes.
Put 1200 people in Tjeldsund in 580 households, 7 kindergartens, 5 primary schools, 4 lower secondary schools, 1 upper secondary schools, 35 workplaces, and 0 nursing homes.
Put 1301 people in Evenes in 627 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 58 workplaces, and 1 nursing homes.
Put 471 people in Røst in 250 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 34 workplaces, and 1 nursing homes.
Put 754 people in Værøy in 334 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 32 workplaces, and 1 nursing homes.
Put 1154 people in Flakstad in 565 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 67 workplaces, and 1 nursing homes.
Put 10661 people in Vestvågøy in 4970 households, 18 kindergartens, 8 primary schools, 5 lower secondary schools, 1 upper secondary schools, 396 workplaces, and 2 nursing homes.
Put 8927 people in Vågan in 4252 households, 17 kindergartens, 10 primary schools, 9 lower secondary schools, 2 upper secondary schools, 343 workplaces, and 2 nursing homes.
Put 7714 people in Hadsel in 3673 households, 11 kindergartens, 5 primary schools, 3 lower secondary schools, 1 upper secondary schools, 198 workplaces, and 1 nursing homes.
Put 26004 people in Bø in 11956 households, 11 kindergartens, 11 primary schools, 4 lower secondary schools, 2 upper secondary schools, 757 workplaces, and 0 nursing homes.
Put 4215 people in Øksnes in 2007 households, 5 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 166 workplaces, and 1 nursing homes.
Put 10143 people in Sortland in 4652 households, 14 kindergartens, 7 primary schools, 2 lower secondary schools, 2 upper secondary schools, 466 workplaces, and 1 nursing homes.
Put 5676 people in Andøy in 2786 households, 8 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 223 workplaces, and 1 nursing homes.
Put 985 people in Moskenes in 487 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 55 workplaces, and 1 nursing homes.
Put 79003 people in Tromsø in 37427 households, 91 kindergartens, 33 primary schools, 19 lower secondary schools, 9 upper secondary schools, 2746 workplaces, and 5 nursing homes.
Put 24411 people in Harstad in 11393 households, 32 kindergartens, 9 primary schools, 5 lower secondary schools, 2 upper secondary schools, 892 workplaces, and 5 nursing homes.
Put 2636 people in Kvæfjord in 1274 households, 3 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 81 workplaces, and 0 nursing homes.
Put 1308 people in Ibestad in 668 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 91 workplaces, and 0 nursing homes.
Put 1028 people in Gratangen in 517 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 45 workplaces, and 0 nursing homes.
Put 899 people in Lavangen in 426 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 31 workplaces, and 0 nursing homes.
Put 3883 people in Bardu in 1835 households, 5 kindergartens, 3 primary schools, 1 lower secondary schools, 0 upper secondary schools, 180 workplaces, and 0 nursing homes.
Put 2051 people in Salangen in 998 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 70 workplaces, and 0 nursing homes.
Put 6304 people in Målselv in 3040 households, 6 kindergartens, 7 primary schools, 4 lower secondary schools, 2 upper secondary schools, 236 workplaces, and 0 nursing homes.
Put 3217 people in Sørreisa in 1500 households, 4 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 84 workplaces, and 0 nursing homes.
Put 1058 people in Dyrøy in 547 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 38 workplaces, and 0 nursing homes.
Put 386949 people in Berg in 184775 households, 353 kindergartens, 109 primary schools, 56 lower secondary schools, 39 upper secondary schools, 12576 workplaces, and 0 nursing homes.
Put 5207 people in Balsfjord in 2531 households, 8 kindergartens, 5 primary schools, 4 lower secondary schools, 1 upper secondary schools, 218 workplaces, and 0 nursing homes.
Put 2158 people in Karlsøy in 1062 households, 5 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 112 workplaces, and 0 nursing homes.
Put 2489 people in Lyngen in 1237 households, 4 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 99 workplaces, and 0 nursing homes.
Put 1652 people in Storfjord in 833 households, 3 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 72 workplaces, and 0 nursing homes.
Put 1996 people in Kåfjord in 929 households, 3 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 83 workplaces, and 0 nursing homes.
Put 2733 people in Skjervøy in 1253 households, 5 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 61 workplaces, and 2 nursing homes.
Put 4440 people in Nordreisa in 2127 households, 10 kindergartens, 3 primary schools, 2 lower secondary schools, 1 upper secondary schools, 206 workplaces, and 0 nursing homes.
Put 1079 people in Kvænangen in 549 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 57 workplaces, and 0 nursing homes.
Put 2004 people in Vardø in 1095 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 87 workplaces, and 0 nursing homes.
Put 5592 people in Vadsø in 2702 households, 6 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 232 workplaces, and 0 nursing homes.
Put 10434 people in Hammerfest in 4856 households, 16 kindergartens, 8 primary schools, 6 lower secondary schools, 1 upper secondary schools, 364 workplaces, and 2 nursing homes.
Put 2350 people in Kautokeino in 1037 households, 6 kindergartens, 2 primary schools, 2 lower secondary schools, 1 upper secondary schools, 72 workplaces, and 0 nursing homes.
Put 19482 people in Alta in 8657 households, 27 kindergartens, 13 primary schools, 8 lower secondary schools, 1 upper secondary schools, 763 workplaces, and 0 nursing homes.
Put 861 people in Loppa in 468 households, 1 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 40 workplaces, and 0 nursing homes.
Put 1103 people in Hasvik in 508 households, 3 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 64 workplaces, and 0 nursing homes.
Put 1227 people in Måsøy in 607 households, 1 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 53 workplaces, and 0 nursing homes.
Put 3022 people in Nordkapp in 1538 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 146 workplaces, and 0 nursing homes.
Put 3696 people in Porsanger in 1840 households, 6 kindergartens, 3 primary schools, 3 lower secondary schools, 1 upper secondary schools, 200 workplaces, and 2 nursing homes.
Put 2378 people in Karasjok in 1078 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 84 workplaces, and 0 nursing homes.
Put 1266 people in Lebesby in 640 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 68 workplaces, and 0 nursing homes.
Put 1095 people in Gamvik in 575 households, 2 kindergartens, 3 primary schools, 3 lower secondary schools, 0 upper secondary schools, 80 workplaces, and 0 nursing homes.
Put 986 people in Berlevåg in 485 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 51 workplaces, and 0 nursing homes.
Put 2758 people in Tana in 1336 households, 5 kindergartens, 6 primary schools, 3 lower secondary schools, 1 upper secondary schools, 143 workplaces, and 0 nursing homes.
Put 876 people in Nesseby in 434 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 59 workplaces, and 0 nursing homes.
Put 2196 people in Båtsfjord in 1047 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 2 upper secondary schools, 119 workplaces, and 0 nursing homes.
Put 9885 people in Sør-varanger in 4643 households, 12 kindergartens, 7 primary schools, 5 lower secondary schools, 1 upper secondary schools, 281 workplaces, and 2 nursing homes.
Put 208583 people in Trondheim in 101635 households, 242 kindergartens, 50 primary schools, 31 lower secondary schools, 16 upper secondary schools, 6596 workplaces, and 5 nursing homes.
Put 12713 people in Namsos in 5841 households, 24 kindergartens, 10 primary schools, 8 lower secondary schools, 1 upper secondary schools, 471 workplaces, and 3 nursing homes.
Put 8062 people in Hemne in 3831 households, 7 kindergartens, 4 primary schools, 3 lower secondary schools, 0 upper secondary schools, 261 workplaces, and 0 nursing homes.
Put 4949 people in Frøya in 2264 households, 8 kindergartens, 6 primary schools, 3 lower secondary schools, 1 upper secondary schools, 193 workplaces, and 0 nursing homes.
Put 5082 people in Ørland in 2423 households, 10 kindergartens, 5 primary schools, 2 lower secondary schools, 1 upper secondary schools, 175 workplaces, and 0 nursing homes.
Put 4984 people in Åfjord in 2424 households, 10 kindergartens, 7 primary schools, 7 lower secondary schools, 1 upper secondary schools, 247 workplaces, and 0 nursing homes.
Put 10280 people in Osen in 4771 households, 15 kindergartens, 9 primary schools, 7 lower secondary schools, 2 upper secondary schools, 325 workplaces, and 0 nursing homes.
Put 6602 people in Oppdal in 3069 households, 10 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 304 workplaces, and 0 nursing homes.
Put 2293 people in Rennebu in 1111 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 115 workplaces, and 2 nursing homes.
Put 5310 people in Røros in 2618 households, 7 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 234 workplaces, and 1 nursing homes.
Put 1846 people in Holtålen in 880 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 50 workplaces, and 0 nursing homes.
Put 5686 people in Midtre Gauldal in 2586 households, 7 kindergartens, 4 primary schools, 1 lower secondary schools, 1 upper secondary schools, 211 workplaces, and 3 nursing homes.
Put 15762 people in Melhus in 6811 households, 16 kindergartens, 9 primary schools, 4 lower secondary schools, 2 upper secondary schools, 377 workplaces, and 4 nursing homes.
Put 7839 people in Skaun in 3250 households, 8 kindergartens, 5 primary schools, 1 lower secondary schools, 0 upper secondary schools, 140 workplaces, and 2 nursing homes.
Put 13503 people in Malvik in 5537 households, 15 kindergartens, 4 primary schools, 2 lower secondary schools, 1 upper secondary schools, 264 workplaces, and 0 nursing homes.
Put 3903 people in Selbu in 1770 households, 5 kindergartens, 3 primary schools, 1 lower secondary schools, 1 upper secondary schools, 123 workplaces, and 0 nursing homes.
Put 688 people in Tydal in 357 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 55 workplaces, and 0 nursing homes.
Put 2333 people in Meråker in 1136 households, 2 kindergartens, 1 primary schools, 1 lower secondary schools, 1 upper secondary schools, 93 workplaces, and 0 nursing homes.
Put 22940 people in Stjørdal in 10114 households, 34 kindergartens, 12 primary schools, 5 lower secondary schools, 2 upper secondary schools, 660 workplaces, and 5 nursing homes.
Put 2466 people in Frosta in 1106 households, 3 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 91 workplaces, and 0 nursing homes.
Put 19592 people in Levanger in 8983 households, 27 kindergartens, 10 primary schools, 6 lower secondary schools, 1 upper secondary schools, 500 workplaces, and 5 nursing homes.
Put 14205 people in Verdal in 6553 households, 15 kindergartens, 8 primary schools, 2 lower secondary schools, 1 upper secondary schools, 389 workplaces, and 2 nursing homes.
Put 1952 people in Snåsa in 895 households, 5 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 82 workplaces, and 0 nursing homes.
Put 1208 people in Lierne in 577 households, 2 kindergartens, 2 primary schools, 2 lower secondary schools, 0 upper secondary schools, 65 workplaces, and 0 nursing homes.
Put 451 people in Røyrvik in 205 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 34 workplaces, and 0 nursing homes.
Put 785 people in Namsskogan in 385 households, 3 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 62 workplaces, and 0 nursing homes.
Put 2164 people in Grong in 1097 households, 4 kindergartens, 2 primary schools, 1 lower secondary schools, 1 upper secondary schools, 88 workplaces, and 0 nursing homes.
Put 1173 people in Høylandet in 517 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 59 workplaces, and 0 nursing homes.
Put 3588 people in Overhalla in 1540 households, 4 kindergartens, 3 primary schools, 2 lower secondary schools, 0 upper secondary schools, 178 workplaces, and 0 nursing homes.
Put 1061 people in Flatanger in 484 households, 2 kindergartens, 2 primary schools, 1 lower secondary schools, 0 upper secondary schools, 70 workplaces, and 0 nursing homes.
Put 4721 people in Nærøy in 2218 households, 17 kindergartens, 7 primary schools, 4 lower secondary schools, 2 upper secondary schools, 209 workplaces, and 2 nursing homes.
Put 531 people in Leka in 266 households, 1 kindergartens, 1 primary schools, 1 lower secondary schools, 0 upper secondary schools, 39 workplaces, and 0 nursing homes.
Put 6404 people in Inderøy in 2820 households, 10 kindergartens, 7 primary schools, 2 lower secondary schools, 1 upper secondary schools, 199 workplaces, and 2 nursing homes.
Put 9262 people in Indre Fosen in 4331 households, 14 kindergartens, 7 primary schools, 5 lower secondary schools, 2 upper secondary schools, 270 workplaces, and 3 nursing homes.
